,Pos,Sail #,Bow,Names,Cat,1Q,2Q,3Q,4Q,5Q,6F,7F,8F,9F,10F,11F,TOTAL,NET
44,45,GBR 895,48,"HAYDN SEWELL, FAYE CHATTERTON",MX,16,16,21,18,13,19,-23,18,10,13,10,177.0,154.0
45,46,POL 7,34,"AGNIESZKA PAWLOWSKA, BARTEK SZLIJA",MX,-27,14,17,23,20,11,9,23,4,23,19,190.0,163.0
46,47,ARG 26,41,"BELÉN TAVELLA, JOAQUIN TARASIDO",MX,12,22,23,21,15,UFD (31),10,21,18,16,7,196.0,165.0
47,48,SWE 4,45,"HEDVIG LILJEGREN, HUGO LILJEGREN",MX,20,17,-26,22,24,3,5,20,16,22,20,195.0,169.0
48,49,NZL 4,43,"DEREK SCOTT, REBECCA HUME",MX,22,-27,27,27,16,22,12,16,14,9,11,203.0,176.0
49,50,UKR 22,52,"YEHOR SAMARIN, YELYZAVETA VASYLENKO",MX,23,25,24,-26,18,8,21,10,9,25,15,204.0,178.0
50,51,POL 13,49,"RAFAL POGORZELSKI, MALGORZATA GORNISIEWICZ",MX,25,-27,24,21,25,20,4,15,19,18,23,221.0,194.0
51,52,POL 11,51,"JOANNA CYMERMAN, TYMON KOSOBUCKI",MX,26,-28,22,25,21,21,27,17,17,24,17,245.0,217.0
52,53,ARG 5,57,"MARTIN CLOOS, EMILIANA MARIA LOPEZ",MX,27,25,23,23,25,23,15,22,UFD (31),19,22,255.0,224.0
53,54,CRO 88,50,"EMA SAMARZIJA, LEON SCHEIDL",MX,29,UFD (32),25,29,24,13,25,13,22,21,24,257.0,225.0
54,55,GBR 863,46,"MILLIE IRISH, SZYMON MATYJASZCZUK",MX,26,DNF (32),DNC 32,28,23,17,19,24,23,17,18,259.0,227.0
55,56,CHI 33,62,"PEDRO FELIPE ROBLES, CARMINA SOFÍA FUENTES",MX,-30,26,29,27,26,18,22,26,21,20,21,266.0,236.0
56,57,ECU 7,61,"MARÍA JOSÉ CUCALÓN, JONATHAN MARTINETTI",MX,28,26,26,26,27,25,16,25,20,DNF (31),25,275.0,244.0
57,58,UKR 19,56,"MYKHAILO BILOHORODSKYI, POLINA ZATOCHNA",MX,29,28,25,-30,28,27,17,29,24,26,26,289.0,259.0
58,59,ANG 1,59,"MATIAS MONTINHO, MANUELA PAULO",MX,28,24,28,DNS (32),DNS 32,26,24,27,26,DNF 31,DNF 31,309.0,277.0
59,60,MOZ 1,60,"DENISE HELENA RUI PARRUQUE, ALCIDIO PORTUGAL ALMEIDA LINO",MX,DSQ (32),29,27,28,RET 32,28,26,28,25,DNF 31,28,314.0,282.0
60,61,AUT 463,30,"ROSA DONNER, NIKLAS HABERL",MX,DNC (32),DNC 32,DNC 32,DNC 32,DNC 32,DNC 31,DNC 31,DNC 31,DNC 31,DNC 31,DNC 31,346.0,314.0
