Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
,,Josefin Olsson,,Ilca 6,4,MR,3,,71,50,Semaine Olympique Francaise De Voile 2015,Race 9 - Medal,0
,,Paige Railey,,Ilca 6,6,MR,7,,116,75,Semaine Olympique Francaise De Voile 2015,Race 9 - Medal,0
,,Alison Young,,Ilca 6,12,MR,8,,99,77,Semaine Olympique Francaise De Voile 2015,Race 9 - Medal,0
,,Gintare Scheidt,,Ilca 6,10,MR,2,,70,48,Semaine Olympique Francaise De Voile 2015,Race 9 - Medal,0
,,Maxime Jonker,,Ilca 6,29,aa,28,,199,165,Semaine Olympique Francaise De Voile 2015,Race 8,0
,,Manami Doi,,Ilca 6,37,aa,23,,181,144,Semaine Olympique Francaise De Voile 2015,Race 8,0
,,Sara Winther,,Ilca 6,34,aa,21,,170,136,Semaine Olympique Francaise De Voile 2015,Race 8,0
,,Hannah Snellgrove,,Ilca 6,23,aa,31,,215,176,Semaine Olympique Francaise De Voile 2015,Race 8,0
,,Marie Bolou,,Ilca 6,27,aa,26,,195,154,Semaine Olympique Francaise De Voile 2015,Race 8,0
,,Daphne van der Vaart,,Ilca 6,33,aa,37,,246,210,Semaine Olympique Francaise De Voile 2015,Race 8,0
,,Amelie Riou,,Ilca 6,38,aa,39,,257,218,Semaine Olympique Francaise De Voile 2015,Race 8,0
,,Lucia Falasca,,Ilca 6,32,aa,35,,218,186,Semaine Olympique Francaise De Voile 2015,Race 8,0
,,Fernanda Decnop Coelho,,Ilca 6,40,aa,34,,227,186,Semaine Olympique Francaise De Voile 2015,Race 8,0
,,Claire Merry,,Ilca 6,31,aa,38,,258,217,Semaine Olympique Francaise De Voile 2015,Race 8,0
,,Marthe Eide,,Ilca 6,30,aa,27,,195,159,Semaine Olympique Francaise De Voile 2015,Race 8,0
,,Evi Van Acker,,Ilca 6,1,aa,1,,44,27,Semaine Olympique Francaise De Voile 2015,Race 8,0
,,Mathilde de Kerangat,,Ilca 6,9,aa,16,,149,117,Semaine Olympique Francaise De Voile 2015,Race 8,0
,,Elizabeth Yin,,Ilca 6,19,aa,18,,164,126,Semaine Olympique Francaise De Voile 2015,Race 8,0
,,Cagla Donertas,,Ilca 6,36,aa,32,,218,177,Semaine Olympique Francaise De Voile 2015,Race 8,0
,,Emma Plasschaert,,Ilca 6,11,aa,5,,96,72,Semaine Olympique Francaise De Voile 2015,Race 8,0
,,Tina Mihelic,,Ilca 6,21,aa,20,,169,136,Semaine Olympique Francaise De Voile 2015,Race 8,0
