Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
,,Lorenzo Boschetti,,Formula Kite Masc.,7,aa,5,,140.0,87.0,Semaine Olympique Francaise De Voile 2023,13F,0
,,Mario Calbucci,,Formula Kite Masc.,19,aa,18,,262.0,196.0,Semaine Olympique Francaise De Voile 2023,13F,0
,,Jan Marciniak,,Formula Kite Masc.,24,aa,17,,264.0,192.0,Semaine Olympique Francaise De Voile 2023,13F,0
,,Maximilian Maeder,,Formula Kite Masc.,2,aa,2,,84.0,42.0,Semaine Olympique Francaise De Voile 2023,13F,0
,,Florian Gruber,,Formula Kite Masc.,9,aa,13,,185.0,136.0,Semaine Olympique Francaise De Voile 2023,13F,0
,,Valentin Bontus,,Formula Kite Masc.,8,aa,14,,215.0,139.0,Semaine Olympique Francaise De Voile 2023,13F,0
,,Jean de Falbaire,,Formula Kite Masc.,17,aa,56,,179.0,116.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Noah Runciman,,Formula Kite Masc.,10,aa,57,,188.0,124.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,jean romain morel,,Formula Kite Masc.,23,aa,74,,180.0,119.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Kai Calder,,Formula Kite Masc.,7,aa,20,,262.0,198.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Oscar Timm,,Formula Kite Masc.,17,aa,50,,139.0,93.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,ELOAN ROCHE,,Formula Kite Masc.,21,aa,87,,219.0,151.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Ejder Ginyol,,Formula Kite Masc.,23,aa,58,,114.0,59.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Malo QUERNEC,,Formula Kite Masc.,14,aa,49,,153.0,90.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Connor Bainbridge,,Formula Kite Masc.,4,aa,3,,87.0,49.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Deury Corniel,,Formula Kite Masc.,18,aa,55,,171.0,108.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Nell de JAHAM,,Formula Kite Masc.,32,aa,84,,214.0,146.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Xantos Villegas,,Formula Kite Masc.,22,aa,48,,143.0,90.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Arthur LHEZ,,Formula Kite Masc.,9,aa,38,,90.0,62.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Maxime Nocher,,Formula Kite Masc.,2,aa,4,,62.0,44.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,nuo yang,,Formula Kite Masc.,19,aa,60,,120.0,67.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Casey Brown,,Formula Kite Masc.,32,aa,70,,172.0,108.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Roderick Pijls,,Formula Kite Masc.,32,aa,78,,197.0,133.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Maks Zakowski,,Formula Kite Masc.,10,aa,29,,75.0,30.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Matthew Beck,,Formula Kite Masc.,25,aa,65,,143.0,91.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Florian Gruber,,Formula Kite Masc.,7,aa,13,,185.0,136.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Po Chak Leung,,Formula Kite Masc.,29,aa,89,,223.0,155.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Piotr Szymiec,,Formula Kite Masc.,24,aa,62,,126.0,81.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Theo de Ramecourt,,Formula Kite Masc.,1,aa,9,,157.0,97.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,André Olsson,,Formula Kite Masc.,24,aa,82,,191.0,140.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,JIANGANG WU WU,,Formula Kite Masc.,12,aa,40,,112.0,73.0,Semaine Olympique Francaise De Voile 2023,2Q,0
