Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
,,"Anastasiya Winkel, Malte Winkel",,470,13.0,G,3,,78.0,64.0,Semaine Olympique Francaise De Voile 2023,7F,0
,,"Alessio Bellico, Benedetta di Salle",,470,6.0,G,42,,157.0,133.0,Semaine Olympique Francaise De Voile 2023,7F,0
,,"Noa Lasry, Nitai Hasson",,470,7.0,G,8,,109.0,90.0,Semaine Olympique Francaise De Voile 2023,7F,0
,,"Symeon Michalopoulos, Melina Pappa",,470,7.0,G,41,,166.0,133.0,Semaine Olympique Francaise De Voile 2023,7F,0
,,"Matisse Pacaud, Lucie de Gennes",,470,18.0,G,15,,137.0,106.0,Semaine Olympique Francaise De Voile 2023,7F,0
,,"Matti Cipra, Theres Dahnke",,470,27.0,G,16,,134.0,107.0,Semaine Olympique Francaise De Voile 2023,7F,0
,,"Emil Forslund, Julia Jacobsen",,470,24.0,G,51,,192.0,159.0,Semaine Olympique Francaise De Voile 2023,7F,0
,,"James Jackson, Lily Richardson",,470,26.0,G,59,,240.0,211.0,Semaine Olympique Francaise De Voile 2023,7F,0
,,"Maciej Mackowiak, Danuta Grudzie?",,470,28.0,G,62,,291.0,259.0,Semaine Olympique Francaise De Voile 2023,7F,0
,,"Hannah Bristow, James Taylor",,470,22.0,G,50,,187.0,157.0,Semaine Olympique Francaise De Voile 2023,7F,0
,,"Chang ju Kim, Jihee Lee",,470,8.0,G,39,,150.0,123.0,Semaine Olympique Francaise De Voile 2023,7F,0
,,"Hippolyte Machetti, Aloise Retornaz",,470,19.0,G,10,,120.0,99.0,Semaine Olympique Francaise De Voile 2023,7F,0
,,"Hugo Christensson, Olivia Bergstrom",,470,4.0,G,38,,156.0,123.0,Semaine Olympique Francaise De Voile 2023,7F,0
,,"Conor Nicholas, Nia Jerwood",,470,24.0,G,30,,182.75,149.75,Semaine Olympique Francaise De Voile 2023,7F,0
