Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
,,Kristyna Pinosova,,IQFOIL Fem. ,2,aa,5,,78,36,Semaine Olympique Francaise De Voile 2023,8(CR),0
,,Laerke Buhl-Hansen,,IQFOIL Fem. ,1,aa,3,,27,12,Semaine Olympique Francaise De Voile 2023,8(CR),0
,,Dominique Stater,,IQFOIL Fem. ,3,aa,11,,160,102,Semaine Olympique Francaise De Voile 2023,8(CR),0
,,Miki Yamabe,,IQFOIL Fem. ,19,aa,19,,252,185,Semaine Olympique Francaise De Voile 2023,8(CR),0
,,Fujiko Onishi,,IQFOIL Fem. ,11,aa,12,,158,103,Semaine Olympique Francaise De Voile 2023,8(CR),0
,,Katerina Svikova,,IQFOIL Fem. ,5,aa,4,,85,52,Semaine Olympique Francaise De Voile 2023,3(CR),0
,,Cristina Ortiz Vivas,,IQFOIL Fem. ,22,aa,22,,288,219,Semaine Olympique Francaise De Voile 2023,3(CR),0
,,Rina Niijima,,IQFOIL Fem. ,14,aa,2,,122,75,Semaine Olympique Francaise De Voile 2023,3(CR),0
,,Megumi Komine,,IQFOIL Fem. ,19,aa,16,,203,142,Semaine Olympique Francaise De Voile 2023,3(CR),0
,,Kristýna Chalupníková,,IQFOIL Fem. ,17,aa,20,,269,200,Semaine Olympique Francaise De Voile 2023,3(CR),0
,,Yuki Sunaga,,IQFOIL Fem. ,10,aa,6,,141,89,Semaine Olympique Francaise De Voile 2023,3(CR),0
,,Ambar Papazian,,IQFOIL Fem. ,13,aa,13,,178,119,Semaine Olympique Francaise De Voile 2023,3(CR),0
,,Katerina Altmannova,,IQFOIL Fem. ,8,aa,10,,111,73,Semaine Olympique Francaise De Voile 2023,3(CR),0
,,Demita Vega,,IQFOIL Fem. ,16,aa,21,,277,208,Semaine Olympique Francaise De Voile 2023,3(CR),0
,,Junna Watanabe,,IQFOIL Fem. ,12,aa,17,,232,163,Semaine Olympique Francaise De Voile 2023,3(CR),0
,,Laerke Buhl-Hansen,,IQFOIL Fem. ,1,aa,3,,27,12,Semaine Olympique Francaise De Voile 2023,3(CR),0
,,Kristyna Pinosova,,IQFOIL Fem. ,9,aa,5,,78,36,Semaine Olympique Francaise De Voile 2023,3(CR),0
,,Merve Vatan,,IQFOIL Fem. ,20,aa,7,,167,101,Semaine Olympique Francaise De Voile 2023,3(CR),0
,,Barbora Svikova,,IQFOIL Fem. ,2,aa,1,,61,33,Semaine Olympique Francaise De Voile 2023,3(CR),0
,,Samantha Costin,,IQFOIL Fem. ,4,aa,14,,190,127,Semaine Olympique Francaise De Voile 2023,3(CR),0
,,Nela Sadílková,,IQFOIL Fem. ,18,aa,15,,182,130,Semaine Olympique Francaise De Voile 2023,3(CR),0
,,Bryn Muller,,IQFOIL Fem. ,21,aa,18,,233,164,Semaine Olympique Francaise De Voile 2023,3(CR),0
,,Dominique Stater,,IQFOIL Fem. ,15,aa,11,,160,102,Semaine Olympique Francaise De Voile 2023,3(CR),0
,,Dilara Uralp Palombo,,IQFOIL Fem. ,7,aa,9,,97,59,Semaine Olympique Francaise De Voile 2023,3(CR),0
,,Lina Erzen,,IQFOIL Fem. ,3,aa,8,,135,79,Semaine Olympique Francaise De Voile 2023,3(CR),0
,,Miki Yamabe,,IQFOIL Fem. ,11,aa,19,,252,185,Semaine Olympique Francaise De Voile 2023,3(CR),0
,,Fujiko Onishi,,IQFOIL Fem. ,6,aa,12,,158,103,Semaine Olympique Francaise De Voile 2023,3(CR),0
,,Lina Erzen,,IQFOIL Fem. ,13,aa,8,,135,79,Semaine Olympique Francaise De Voile 2023,10(SL),0
,,Nela Sadílková,,IQFOIL Fem. ,14,aa,15,,182,130,Semaine Olympique Francaise De Voile 2023,10(SL),0
,,Katerina Svikova,,IQFOIL Fem. ,6,aa,4,,85,52,Semaine Olympique Francaise De Voile 2023,10(SL),0
,,Katerina Altmannova,,IQFOIL Fem. ,3,aa,10,,111,73,Semaine Olympique Francaise De Voile 2023,10(SL),0
,,Megumi Komine,,IQFOIL Fem. ,17,aa,16,,203,142,Semaine Olympique Francaise De Voile 2023,10(SL),0
,,Laerke Buhl-Hansen,,IQFOIL Fem. ,7,aa,3,,27,12,Semaine Olympique Francaise De Voile 2023,10(SL),0
,,Merve Vatan,,IQFOIL Fem. ,8,aa,7,,167,101,Semaine Olympique Francaise De Voile 2023,10(SL),0
,,Barbora Svikova,,IQFOIL Fem. ,1,aa,1,,61,33,Semaine Olympique Francaise De Voile 2023,10(SL),0
,,Rina Niijima,,IQFOIL Fem. ,4,aa,2,,122,75,Semaine Olympique Francaise De Voile 2023,10(SL),0
,,Dilara Uralp Palombo,,IQFOIL Fem. ,15,aa,9,,97,59,Semaine Olympique Francaise De Voile 2023,10(SL),0
,,Ambar Papazian,,IQFOIL Fem. ,5,aa,13,,178,119,Semaine Olympique Francaise De Voile 2023,10(SL),0
,,Dominique Stater,,IQFOIL Fem. ,11,aa,11,,160,102,Semaine Olympique Francaise De Voile 2023,10(SL),0
,,Bryn Muller,,IQFOIL Fem. ,10,aa,18,,233,164,Semaine Olympique Francaise De Voile 2023,10(SL),0
,,Cristina Ortiz Vivas,,IQFOIL Fem. ,20,aa,22,,288,219,Semaine Olympique Francaise De Voile 2023,10(SL),0
,,Miki Yamabe,,IQFOIL Fem. ,21,aa,19,,252,185,Semaine Olympique Francaise De Voile 2023,10(SL),0
,,Kristýna Chalupníková,,IQFOIL Fem. ,19,aa,20,,269,200,Semaine Olympique Francaise De Voile 2023,10(SL),0
,,Kristyna Pinosova,,IQFOIL Fem. ,2,aa,5,,78,36,Semaine Olympique Francaise De Voile 2023,10(SL),0
,,Samantha Costin,,IQFOIL Fem. ,16,aa,14,,190,127,Semaine Olympique Francaise De Voile 2023,10(SL),0
,,Demita Vega,,IQFOIL Fem. ,22,aa,21,,277,208,Semaine Olympique Francaise De Voile 2023,10(SL),0
,,Yuki Sunaga,,IQFOIL Fem. ,12,aa,6,,141,89,Semaine Olympique Francaise De Voile 2023,10(SL),0
,,Junna Watanabe,,IQFOIL Fem. ,18,aa,17,,232,163,Semaine Olympique Francaise De Voile 2023,10(SL),0
,,Fujiko Onishi,,IQFOIL Fem. ,9,aa,12,,158,103,Semaine Olympique Francaise De Voile 2023,10(SL),0
,,Miki Yamabe,,IQFOIL Fem. ,15,aa,19,,252,185,Semaine Olympique Francaise De Voile 2023,1(CR),0
,,Lina Erzen,,IQFOIL Fem. ,23,aa,8,,135,79,Semaine Olympique Francaise De Voile 2023,1(CR),0
,,Yuki Sunaga,,IQFOIL Fem. ,7,aa,6,,141,89,Semaine Olympique Francaise De Voile 2023,1(CR),0
,,Kristyna Pinosova,,IQFOIL Fem. ,1,aa,5,,78,36,Semaine Olympique Francaise De Voile 2023,1(CR),0
,,Demita Vega,,IQFOIL Fem. ,19,aa,21,,277,208,Semaine Olympique Francaise De Voile 2023,1(CR),0
,,Junna Watanabe,,IQFOIL Fem. ,16,aa,17,,232,163,Semaine Olympique Francaise De Voile 2023,1(CR),0
,,Dilara Uralp Palombo,,IQFOIL Fem. ,4,aa,9,,97,59,Semaine Olympique Francaise De Voile 2023,1(CR),0
,,Cristina Ortiz Vivas,,IQFOIL Fem. ,20,aa,22,,288,219,Semaine Olympique Francaise De Voile 2023,1(CR),0
,,Samantha Costin,,IQFOIL Fem. ,2,aa,14,,190,127,Semaine Olympique Francaise De Voile 2023,1(CR),0
,,Bryn Muller,,IQFOIL Fem. ,6,aa,18,,233,164,Semaine Olympique Francaise De Voile 2023,1(CR),0
,,Megumi Komine,,IQFOIL Fem. ,13,aa,16,,203,142,Semaine Olympique Francaise De Voile 2023,1(CR),0
,,Katerina Altmannova,,IQFOIL Fem. ,8,aa,10,,111,73,Semaine Olympique Francaise De Voile 2023,1(CR),0
,,Nela Sadílková,,IQFOIL Fem. ,14,aa,15,,182,130,Semaine Olympique Francaise De Voile 2023,1(CR),0
,,Merve Vatan,,IQFOIL Fem. ,9,aa,7,,167,101,Semaine Olympique Francaise De Voile 2023,1(CR),0
,,Rina Niijima,,IQFOIL Fem. ,11,aa,2,,122,75,Semaine Olympique Francaise De Voile 2023,1(CR),0
,,Ambar Papazian,,IQFOIL Fem. ,18,aa,13,,178,119,Semaine Olympique Francaise De Voile 2023,1(CR),0
,,Dominique Stater,,IQFOIL Fem. ,10,aa,11,,160,102,Semaine Olympique Francaise De Voile 2023,1(CR),0
,,Kristýna Chalupníková,,IQFOIL Fem. ,23,aa,20,,269,200,Semaine Olympique Francaise De Voile 2023,1(CR),0
,,Barbora Svikova,,IQFOIL Fem. ,5,aa,1,,61,33,Semaine Olympique Francaise De Voile 2023,1(CR),0
,,Fujiko Onishi,,IQFOIL Fem. ,12,aa,12,,158,103,Semaine Olympique Francaise De Voile 2023,1(CR),0
,,Katerina Svikova,,IQFOIL Fem. ,17,aa,4,,85,52,Semaine Olympique Francaise De Voile 2023,1(CR),0
,,Laerke Buhl-Hansen,,IQFOIL Fem. ,3,aa,3,,27,12,Semaine Olympique Francaise De Voile 2023,1(CR),0
,,Samantha Costin,,IQFOIL Fem. ,15,aa,14,,190,127,Semaine Olympique Francaise De Voile 2023,12(SL),0
,,Katerina Svikova,,IQFOIL Fem. ,6,aa,4,,85,52,Semaine Olympique Francaise De Voile 2023,12(SL),0
,,Rina Niijima,,IQFOIL Fem. ,11,aa,2,,122,75,Semaine Olympique Francaise De Voile 2023,12(SL),0
,,Miki Yamabe,,IQFOIL Fem. ,17,aa,19,,252,185,Semaine Olympique Francaise De Voile 2023,12(SL),0
,,Laerke Buhl-Hansen,,IQFOIL Fem. ,1,aa,3,,27,12,Semaine Olympique Francaise De Voile 2023,12(SL),0
,,Yuki Sunaga,,IQFOIL Fem. ,3,aa,6,,141,89,Semaine Olympique Francaise De Voile 2023,12(SL),0
,,Fujiko Onishi,,IQFOIL Fem. ,10,aa,12,,158,103,Semaine Olympique Francaise De Voile 2023,12(SL),0
,,Katerina Altmannova,,IQFOIL Fem. ,8,aa,10,,111,73,Semaine Olympique Francaise De Voile 2023,12(SL),0
,,Merve Vatan,,IQFOIL Fem. ,7,aa,7,,167,101,Semaine Olympique Francaise De Voile 2023,12(SL),0
,,Nela Sadílková,,IQFOIL Fem. ,13,aa,15,,182,130,Semaine Olympique Francaise De Voile 2023,12(SL),0
,,Lina Erzen,,IQFOIL Fem. ,12,aa,8,,135,79,Semaine Olympique Francaise De Voile 2023,12(SL),0
,,Kristýna Chalupníková,,IQFOIL Fem. ,16,aa,20,,269,200,Semaine Olympique Francaise De Voile 2023,12(SL),0
,,Megumi Komine,,IQFOIL Fem. ,14,aa,16,,203,142,Semaine Olympique Francaise De Voile 2023,12(SL),0
,,Cristina Ortiz Vivas,,IQFOIL Fem. ,19,aa,22,,288,219,Semaine Olympique Francaise De Voile 2023,12(SL),0
,,Junna Watanabe,,IQFOIL Fem. ,20,aa,17,,232,163,Semaine Olympique Francaise De Voile 2023,12(SL),0
,,Barbora Svikova,,IQFOIL Fem. ,2,aa,1,,61,33,Semaine Olympique Francaise De Voile 2023,12(SL),0
,,Dilara Uralp Palombo,,IQFOIL Fem. ,5,aa,9,,97,59,Semaine Olympique Francaise De Voile 2023,12(SL),0
,,Bryn Muller,,IQFOIL Fem. ,22,aa,18,,233,164,Semaine Olympique Francaise De Voile 2023,12(SL),0
,,Ambar Papazian,,IQFOIL Fem. ,4,aa,13,,178,119,Semaine Olympique Francaise De Voile 2023,12(SL),0
,,Dominique Stater,,IQFOIL Fem. ,18,aa,11,,160,102,Semaine Olympique Francaise De Voile 2023,12(SL),0
,,Kristyna Pinosova,,IQFOIL Fem. ,9,aa,5,,78,36,Semaine Olympique Francaise De Voile 2023,12(SL),0
,,Demita Vega,,IQFOIL Fem. ,21,aa,21,,277,208,Semaine Olympique Francaise De Voile 2023,12(SL),0
,,Miki Yamabe,,IQFOIL Fem. ,16,aa,19,,252,185,Semaine Olympique Francaise De Voile 2023,7(CR),0
,,Lina Erzen,,IQFOIL Fem. ,5,aa,8,,135,79,Semaine Olympique Francaise De Voile 2023,7(CR),0
,,Bryn Muller,,IQFOIL Fem. ,23,aa,18,,233,164,Semaine Olympique Francaise De Voile 2023,7(CR),0
