Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
,,Justina Kitchen,,Formula Kite Fem.,12,G,28,,61,34,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Lilou BALANCA,,Formula Kite Fem.,26,G,43,,143,91,Semaine Olympique Francaise De Voile 2023,2Q,0
,,liu chenxue,,Formula Kite Fem.,15,G,33,,107,55,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Monika Zizlavska,,Formula Kite Fem.,26,G,45,,152,100,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Jessie Kampman,,Formula Kite Fem.,1,G,3,,85,38,Semaine Olympique Francaise De Voile 2023,2Q,0
,,TIANA LAPORTE,,Formula Kite Fem.,14,G,25,,308,245,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Julia Damasiewicz,,Formula Kite Fem.,4,G,20,,238,187,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Suofeiya Li,,Formula Kite Fem.,18,G,41,,129,82,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Maya Ashkenazi,,Formula Kite Fem.,8,G,21,,262,197,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Jemima Crathorne,,Formula Kite Fem.,10,G,23,,270,213,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Daniela Moroz,,Formula Kite Fem.,2,G,2,,103,56,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Katie Dabson,,Formula Kite Fem.,5,G,6,,89,61,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Kimberley Rijsbergen,,Formula Kite Fem.,26,G,49,,182,130,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Poema Newland,,Formula Kite Fem.,6,G,5,,116,54,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Leonie Meyer,,Formula Kite Fem.,9,G,13,,183,127,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Si Wang,,Formula Kite Fem.,9,G,17,,213,157,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Marina Vodisek,,Formula Kite Fem.,21,G,39,,115,74,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Maria Do Socorro Vasconcelos Reis,,Formula Kite Fem.,15,G,36,,106,63,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Anais Mai Desjardins,,Formula Kite Fem.,12,G,34,,83,56,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Heloise Pegourie,,Formula Kite Fem.,17,G,22,,276,211,Semaine Olympique Francaise De Voile 2023,2Q,0
