Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
,,Benyapa JANTAWAN,,Formula Kite Fem.,28.0,G,38,,268.0,201.0,World Championship 2023,Race 2 Blue,1
,,Karolina LARSSON,,Formula Kite Fem.,15.0,G,41,,305.0,230.0,World Championship 2023,Race 2 Blue,0
,,KAJIWARA Saki,,Formula Kite Fem.,28.0,G,51,,443.0,358.0,World Championship 2023,Race 2 Blue,1
,,Lizeth LOAIZA,,Formula Kite Fem.,14.0,G,42,,308.0,230.0,World Championship 2023,Race 2 Blue,0
,,Maria Catalina TURIENZO,,Formula Kite Fem.,9.0,G,32,,214.0,139.0,World Championship 2023,Race 2 Blue,0
,,LEE Youngeun,,Formula Kite Fem.,13.0,G,43,,299.0,235.0,World Championship 2023,Race 2 Blue,0
,,Leonie MEYER,,Formula Kite Fem.,5.0,G,14,,158.0,106.0,World Championship 2023,Race 2 Blue,0
,,Maria Do Socorro VASCONCELOS REIS,,Formula Kite Fem.,28.0,G,34,,254.0,170.0,World Championship 2023,Race 2 Blue,1
,,Heloise PEGOURIE,,Formula Kite Fem.,2.0,G,25,,236.0,152.0,World Championship 2023,Race 2 Blue,0
,,Katie DABSON,,Formula Kite Fem.,28.0,G,4,,137.0,61.0,World Championship 2023,Race 2 Blue,1
,,Derin ATAKAN,,Formula Kite Fem.,7.0,G,30,,217.0,133.0,World Championship 2023,Race 2 Blue,0
,,WANG Si,,Formula Kite Fem.,12.0,G,26,,175.0,103.0,World Championship 2023,Race 2 Blue,0
,,Emily BUGEJA,,Formula Kite Fem.,28.0,G,46,,355.0,271.0,World Championship 2023,Race 2 Blue,1
,,Annelous LAMMERTS,,Formula Kite Fem.,3.0,G,6,,130.0,63.0,World Championship 2023,Race 2 Blue,0
,,Gisela PULIDO BORRELL,,Formula Kite Fem.,28.0,G,16,,200.0,116.0,World Championship 2023,Race 2 Blue,1
,,Marija DOLENC,,Formula Kite Fem.,28.0,G,47,,360.0,276.0,World Championship 2023,Race 2 Blue,1
,,Julia DAMASIEWICZ,,Formula Kite Fem.,10.0,G,21,,207.0,130.0,World Championship 2023,Race 2 Blue,0
,,Breiana WHITEHEAD,,Formula Kite Fem.,6.0,G,11,,145.0,95.0,World Championship 2023,Race 2 Blue,0
,,Nataliya LESHKO,,Formula Kite Fem.,28.0,G,50,,412.0,327.0,World Championship 2023,Race 2 Blue,1
,,Justina KITCHEN,,Formula Kite Fem.,11.0,G,24,,218.0,152.0,World Championship 2023,Race 2 Blue,0
,,Magdalena WOYCIECHOWSKA,,Formula Kite Fem.,4.0,G,20,,168.0,122.0,World Championship 2023,Race 2 Blue,0
,,Lauriane NOLOT,,Formula Kite Fem.,1.0,G,1,,57.0,18.0,World Championship 2023,Race 2 Blue,0
,,Mafalda PIRES de LIMA,,Formula Kite Fem.,28.0,G,33,,219.0,158.0,World Championship 2023,Race 2 Blue,1
