Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
,,Silvia ZENNARO,,Ilca 6,38.0,G,29,,251.0,195,World Championship 2023,Race 6 Gold,0
,,Erika REINEKE,,Ilca 6,56.0,G,15,,189.0,133,World Championship 2023,Race 6 Gold,1
,,Emma PLASSCHAERT,,Ilca 6,3.0,G,6,,129.0,98,World Championship 2023,Race 6 Gold,0
,,Ebru BOLAT,,Ilca 6,35.0,G,43,,327.0,278,World Championship 2023,Race 6 Gold,0
,,Lillian MYERS,,Ilca 6,28.0,G,33,,273.0,223,World Championship 2023,Race 6 Gold,0
,,Marit BOUWMEESTER,,Ilca 6,11.0,G,4,,120.0,84,World Championship 2023,Race 6 Gold,0
,,Line FLEM HOEST,,Ilca 6,29.0,G,19,,212.0,156,World Championship 2023,Race 6 Gold,0
,,Maura DEWEY,,Ilca 6,51.0,G,47,,344.0,288,World Championship 2023,Race 6 Gold,0
,,Cristina CASTELLANOS,,Ilca 6,44.0,G,53,,398.0,342,World Championship 2023,Race 6 Gold,0
,,Monika MIKKOLA,,Ilca 6,14.0,G,25,,239.0,183,World Championship 2023,Race 6 Gold,0
,,Zoe THOMSON,,Ilca 6,33.0,G,35,,274.0,231,World Championship 2023,Race 6 Gold,0
,,Anna MUNCH,,Ilca 6,20.0,G,12,,162.0,125,World Championship 2023,Race 6 Gold,0
,,Cagla DONERTAS,,Ilca 6,19.0,G,32,,265.0,209,World Championship 2023,Race 6 Gold,0
,,Maria ERDI,,Ilca 6,4.0,G,1,,124.0,75,World Championship 2023,Race 6 Gold,0
,,ZHANG Dongshuang,,Ilca 6,46.0,G,49,,350.0,298,World Championship 2023,Race 6 Gold,0
,,Marie BARRUE,,Ilca 6,12.0,G,21,,213.0,168,World Championship 2023,Race 6 Gold,0
,,Gabriella KIDD,,Ilca 6,41.0,G,55,,427.0,371,World Championship 2023,Race 6 Gold,0
,,Agata BARWINSKA,,Ilca 6,27.0,G,18,,190.0,155,World Championship 2023,Race 6 Gold,0
,,Wiktoria GOLEBIOWSKA,,Ilca 6,56.0,G,40,,310.0,254,World Championship 2023,Race 6 Gold,1
,,Charlotte ROSE,,Ilca 6,7.0,G,5,,135.0,96,World Championship 2023,Race 6 Gold,0
,,Mirthe AKKERMAN,,Ilca 6,6.0,G,14,,163.0,133,World Championship 2023,Race 6 Gold,0
