Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
,,KIM/BAE,,49er,27.0,G,82,,376.0,346.0,World Championship 2023,Race 4 Yellow
,,PRETTNER/FLACHBERGER,,49er,14.0,G,33,,184.0,154.0,World Championship 2023,Race 4 Yellow
,,SOFFIATTI GRAEL/SILVA SIMOES,,49er,22.0,G,56,,203.0,174.0,World Championship 2023,Race 4 Yellow
,,LAMBRIEX/van de WERKEN,,49er,2.0,G,1,,76.0,63.0,World Championship 2023,Race 4 Yellow
,,DEHN-TOFTEHOJ/FUGLBJERG,,49er,17.0,G,66,,284.0,254.0,World Championship 2023,Race 4 Yellow
,,WHITCRAFT/WHITCRAFT,,49er,15.0,G,38,,207.0,180.0,World Championship 2023,Race 4 Yellow
,,STANIUL/SZTORCH,,49er,11.0,G,16,,156.0,132.0,World Championship 2023,Race 4 Yellow
,,FISCHER/PEQUIN,,49er,6.0,G,13,,156.0,127.0,World Championship 2023,Race 4 Yellow
,,MUHONEN/BREMER,,49er,23.0,G,47,,239.0,215.0,World Championship 2023,Race 4 Yellow
,,DICKSON/WADDILOVE,,49er,1.0,G,14,,159.0,130.0,World Championship 2023,Race 4 Yellow
,,FERRARESE/CHISTE',,49er,12.0,G,37,,210.0,180.0,World Championship 2023,Race 4 Yellow
,,SHIMAKURA/KAMISONODA,,49er,20.0,G,80,,353.0,323.0,World Championship 2023,Race 4 Yellow
,,MOFFAT/WOOD,,49er,9.0,G,60,,222.0,193.0,World Championship 2023,Race 4 Yellow
,,de VOS/JANSSEN,,49er,24.0,G,83,,425.0,395.0,World Championship 2023,Race 4 Yellow
,,GLOGOWSKI/KRUSIEC,,49er,21.0,G,52,,269.0,239.0,World Championship 2023,Race 4 Yellow
,,HASSON/HARDEE,,49er,26.0,G,69,,291.0,262.0,World Championship 2023,Race 4 Yellow
,,BERTHET/NILSEN,,49er,4.0,G,79,,350.0,320.0,World Championship 2023,Race 4 Yellow
,,RIEGER/HEINRICH,,49er,10.0,G,32,,178.0,148.0,World Championship 2023,Race 4 Yellow
,,McHARDIE/McKENZIE,,49er,7.0,G,4,,125.0,99.0,World Championship 2023,Race 4 Yellow
,,KAGIALIS/ORFANOS,,49er,19.0,G,61,,257.0,227.0,World Championship 2023,Race 4 Yellow
,,STANTON/SHAPLAND,,49er,16.0,G,41,,219.0,193.0,World Championship 2023,Race 4 Yellow
