Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
,,NORDSTROM/BORNARTH,,470,28,G,21,,176,144,World Championship 2023,Race 7 Gold,0
,,MERMOD/SIEGENTHALER,,470,7,G,12,,124,101,World Championship 2023,Race 7 Gold,0
,,le CLECH/RETORNAZ,,470,25,G,30,,227,196,World Championship 2023,Race 7 Gold,0
,,DIESCH/MARKFORT,,470,4,G,8,,122,98,World Championship 2023,Race 7 Gold,0
,,BALLESTER BOVER/WIZNER PEREZ-la FUENTE,,470,32,G,29,,215,182,World Championship 2023,Race 7 Gold,0
,,LINCK DUARTE/BUSATO BARBACHAN,,470,22,G,32,,243,210,World Championship 2023,Race 7 Gold,0
,,DAHLBERG/KARLSSON,,470,23,G,6,,118,95,World Championship 2023,Race 7 Gold,1
,,DAHNKE/CIPRA,,470,10,G,26,,194,161,World Championship 2023,Race 7 Gold,0
,,McNAY/DALLMAN-WEISS,,470,16,G,18,,161,135,World Championship 2023,Race 7 Gold,0
,,TAKAYAMA/MORITA,,470,14,G,24,,191,160,World Championship 2023,Race 7 Gold,0
,,LEIGH/ORR,,470,30,G,25,,191,161,World Championship 2023,Race 7 Gold,1
,,ISOZAKI/SEKI,,470,6,G,3,,112,91,World Championship 2023,Race 7 Gold,0
,,OKADA/YOSHIOKA,,470,5,G,1,,74,50,World Championship 2023,Race 7 Gold,0
,,TULCALI/DANISMEND,,470,21,G,31,,235,202,World Championship 2023,Race 7 Gold,0
,,PACAUD/de GENNES,,470,29,G,14,,142,113,World Championship 2023,Race 7 Gold,1
,,WRIGLEY/HARRIS,,470,1,G,15,,148,115,World Championship 2023,Race 7 Gold,0
,,WINKEL/WINKEL,,470,12,G,5,,110,94,World Championship 2023,Race 7 Gold,0
,,FERRARI/CARUSO,,470,19,G,19,,173,139,World Championship 2023,Race 7 Gold,0
,,XAMMAR HERNANDEZ/BRUGMAN CABOT,,470,20,G,2,,106,86,World Championship 2023,Race 7 Gold,1
,,LOFFLER/HOERR,,470,26,G,17,,161,134,World Championship 2023,Race 7 Gold,0
,,MAS/RODRIGUEZ,,470,3,G,11,,121,99,World Championship 2023,Race 7 Gold,0
,,CINAR/ASLAN,,470,27,G,22,,184,155,World Championship 2023,Race 7 Gold,0
,,WANSER/AUTENRIETH,,470,8,G,9,,135,114,World Championship 2023,Race 7 Gold,0
,,DONG/WANG,,470,31,G,27,,211,178,World Championship 2023,Race 7 Gold,0
,,VADLAU/MAHR,,470,9,G,4,,112,93,World Championship 2023,Race 7 Gold,0
,,COSTA/JOAO,,470,2,G,10,,140,116,World Championship 2023,Race 7 Gold,0
,,TAVELLA/DIETRICH,,470,33,G,33,,259,226,World Championship 2023,Race 7 Gold,1
,,DUARTE HADDAD/SWAN,,470,24,G,23,,183,157,World Championship 2023,Race 7 Gold,0
,,KONDO YOSHIDA/YOSHIDA,,470,18,G,28,,212,178,World Championship 2023,Race 7 Gold,0
,,HEATHCOTE/GRUBE,,470,13,G,13,,142,112,World Championship 2023,Race 7 Gold,0
,,LECOINTRE/MION,,470,17,G,20,,174,141,World Championship 2023,Race 7 Gold,0
,,XU/TU,,470,11,G,16,,143,119,World Championship 2023,Race 7 Gold,0
,,HASSON/LASRY,,470,15,G,7,,131,98,World Championship 2023,Race 7 Gold,0
,,KAMAN SHAH/NOOR JAMALI,,470,24,G,43,,178,149,World Championship 2023,Race 3 Blue,0
,,XU/TU,,470,17,G,16,,143,119,World Championship 2023,Race 3 Blue,0
,,DAHLBERG/KARLSSON,,470,3,G,6,,118,95,World Championship 2023,Race 3 Blue,0
,,DIESCH/MARKFORT,,470,1,G,8,,122,98,World Championship 2023,Race 3 Blue,0
,,di SALLE/BELLICO,,470,10,G,41,,173,141,World Championship 2023,Race 3 Blue,0
,,TAVELLA/DIETRICH,,470,18,G,33,,259,226,World Championship 2023,Race 3 Blue,0
,,LECOINTRE/MION,,470,11,G,20,,174,141,World Championship 2023,Race 3 Blue,0
,,DIAS FERREIRA DUQUE/MARTINS,,470,23,G,44,,183,151,World Championship 2023,Race 3 Blue,0
,,LEIGH/ORR,,470,6,G,25,,191,161,World Championship 2023,Race 3 Blue,0
,,DAHNKE/CIPRA,,470,7,G,26,,194,161,World Championship 2023,Race 3 Blue,0
,,FRAS/SKERLAVAJ,,470,27,G,61,,267,237,World Championship 2023,Race 3 Blue,0
,,GIANNOULIS/GIANNOULI,,470,26,G,58,,258,226,World Championship 2023,Race 3 Blue,0
,,SPANAKI/SPANAKIS,,470,22,G,48,,211,178,World Championship 2023,Race 3 Blue,0
,,COSTA/JOAO,,470,4,G,10,,140,116,World Championship 2023,Race 3 Blue,0
,,RENNIE-YOUNGER/McGLASHAN,,470,33,G,60,,262,229,World Championship 2023,Race 3 Blue,1
,,TAKAYAMA/MORITA,,470,8,G,24,,191,160,World Championship 2023,Race 3 Blue,0
,,PENNANEAC'H/WILLIOT,,470,16,G,42,,174,142,World Championship 2023,Race 3 Blue,0
,,PASZEK/LASKOWSKA,,470,25,G,54,,223,195,World Championship 2023,Race 3 Blue,0
,,THAMSOONTORN/KHEMKAEW,,470,29,G,49,,210,181,World Championship 2023,Race 3 Blue,0
