Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
BERTHOMIEU Lou MOURNIAC Tim,7,Nacra,15,G,12,,172,155,Semaine Olympique Francaise De Voile 2022,R2
FARESE Laura ZOCHLING MatthÃ¤us,7,Nacra,6,G,13,,195,176,Semaine Olympique Francaise De Voile 2022,R2
NEWBERRY-MOORE Sarah LIEBENBERG David,7,Nacra,10,G,14,,210,186,Semaine Olympique Francaise De Voile 2022,R2
LIDDELL Jake COPELAND Lucy,7,Nacra,20,G,15,,226,202,Semaine Olympique Francaise De Voile 2022,R2
BESSON Billy ANCIAN Noa,7,Nacra,8,G,16,,244,211,Semaine Olympique Francaise De Voile 2022,R2
LANGE Santiago TRAVASCIO Victoria,7,Nacra,2,G,17,,240,212,Semaine Olympique Francaise De Voile 2022,R2
PASCHALIDIS IORDANIS PAPADOPOULOU MYRTO,7,Nacra,19,G,18,,246,213,Semaine Olympique Francaise De Voile 2022,R2
BILLY Margaux MAURIN Leo,7,Nacra,(23.0),G,19,,269,246,Semaine Olympique Francaise De Voile 2022,R2
LIU Justin LIM Denise,7,Nacra,14,G,20,,299,266,Semaine Olympique Francaise De Voile 2022,R2
PETARD Titouan SALOU Chloe,7,Nacra,27,G,21,,316,283,Semaine Olympique Francaise De Voile 2022,R2
BALANGER Enzo DUBOIS Roxane,7,Nacra,12,G,22,,318,285,Semaine Olympique Francaise De Voile 2022,R2
CRAIN Carson ATWOOOD Caroline,7,Nacra,18,G,23,,321,288,Semaine Olympique Francaise De Voile 2022,R2
BOOTH Ruben BOOTH Rita,7,Nacra,3,G,24,,362,329,Semaine Olympique Francaise De Voile 2022,R2
HABERL Lukas FRANK Tanja,7,Nacra,DNF,G,25,,362,329,Semaine Olympique Francaise De Voile 2022,R2
JONES Emma PUTTMAN Max,7,Nacra,26,G,26,,377,349,Semaine Olympique Francaise De Voile 2022,R2
SEGURA Iset FERNANDEZ FUERTES Marcos,7,Nacra,25,G,27,,383,350,Semaine Olympique Francaise De Voile 2022,R2
ASCHIERI Andrea CAMUSSO Anja,7,Nacra,24,G,28,,396,363,Semaine Olympique Francaise De Voile 2022,R2
YADAV Ekta BHAIYA Karthik,7,Nacra,28,G,29,,443,410,Semaine Olympique Francaise De Voile 2022,R2
TINDALE Daniel HEMMING Hebe,7,Nacra,DNF,G,30,,479,446,Semaine Olympique Francaise De Voile 2022,R2
MARTINSEN Nicholas Fadle MORTENSEN Martine Steller,7,Nacra,DNF,G,31,,495,462,Semaine Olympique Francaise De Voile 2022,R2
HIRSCH Arto ORSOLINI Elettra,7,Nacra,DNF,G,31EX,,495,462,Semaine Olympique Francaise De Voile 2022,R2
TITA Ruggero BANTI Caterina,7,Nacra,4,G,1,,42,36,Semaine Olympique Francaise De Voile 2022,R3
GIMSON John BURNET Anna,7,Nacra,3,G,2,,70,54,Semaine Olympique Francaise De Voile 2022,R3
KURTBAY Sinem KESKINEN Akseli,7,Nacra,1,G,3,,86,72,Semaine Olympique Francaise De Voile 2022,R3
WATERHOUSE Jason DARMANIN Lisa,7,Nacra,5,G,4,,118,97,Semaine Olympique Francaise De Voile 2022,R3
WILKINSON Micah DAWSON Erica,7,Nacra,12,G,5,,121,105,Semaine Olympique Francaise De Voile 2022,R3
UGOLINI Gianluigi GIUBILEI Maria,7,Nacra,18,G,6,,149,116,Semaine Olympique Francaise De Voile 2022,R3
MAJDALANI Mateo BOSCO Eugenia,7,Nacra,8,G,7,,149,133,Semaine Olympique Francaise De Voile 2022,R3
SAOUMA-PEDERSEN Natac BORRESKOV Mathias Bruun,7,Nacra,13,G,8,,152,136,Semaine Olympique Francaise De Voile 2022,R3
VAN DER MEER Laila BOUWER Bjarne,7,Nacra,20,G,9,,158,136,Semaine Olympique Francaise De Voile 2022,R3
SVENSSON Ida DACKHAMMAR Marcus,7,Nacra,2,G,10,,179,156,Semaine Olympique Francaise De Voile 2022,R3
JARUDD Emil JONSSON Hanna,7,Nacra,6,G,11,,170,149,Semaine Olympique Francaise De Voile 2022,R3
BERTHOMIEU Lou MOURNIAC Tim,7,Nacra,11,G,12,,172,155,Semaine Olympique Francaise De Voile 2022,R3
FARESE Laura ZOCHLING MatthÃ¤us,7,Nacra,9,G,13,,195,176,Semaine Olympique Francaise De Voile 2022,R3
NEWBERRY-MOORE Sarah LIEBENBERG David,7,Nacra,22,G,14,,210,186,Semaine Olympique Francaise De Voile 2022,R3
LIDDELL Jake COPELAND Lucy,7,Nacra,14,G,15,,226,202,Semaine Olympique Francaise De Voile 2022,R3
BESSON Billy ANCIAN Noa,7,Nacra,15,G,16,,244,211,Semaine Olympique Francaise De Voile 2022,R3
LANGE Santiago TRAVASCIO Victoria,7,Nacra,16,G,17,,240,212,Semaine Olympique Francaise De Voile 2022,R3
PASCHALIDIS IORDANIS PAPADOPOULOU MYRTO,7,Nacra,19,G,18,,246,213,Semaine Olympique Francaise De Voile 2022,R3
BILLY Margaux MAURIN Leo,7,Nacra,7,G,19,,269,246,Semaine Olympique Francaise De Voile 2022,R3
LIU Justin LIM Denise,7,Nacra,17,G,20,,299,266,Semaine Olympique Francaise De Voile 2022,R3
PETARD Titouan SALOU Chloe,7,Nacra,23,G,21,,316,283,Semaine Olympique Francaise De Voile 2022,R3
BALANGER Enzo DUBOIS Roxane,7,Nacra,28,G,22,,318,285,Semaine Olympique Francaise De Voile 2022,R3
CRAIN Carson ATWOOOD Caroline,7,Nacra,10,G,23,,321,288,Semaine Olympique Francaise De Voile 2022,R3
BOOTH Ruben BOOTH Rita,7,Nacra,24,G,24,,362,329,Semaine Olympique Francaise De Voile 2022,R3
HABERL Lukas FRANK Tanja,7,Nacra,DNF,G,25,,362,329,Semaine Olympique Francaise De Voile 2022,R3
JONES Emma PUTTMAN Max,7,Nacra,25,G,26,,377,349,Semaine Olympique Francaise De Voile 2022,R3
SEGURA Iset FERNANDEZ FUERTES Marcos,7,Nacra,26,G,27,,383,350,Semaine Olympique Francaise De Voile 2022,R3
ASCHIERI Andrea CAMUSSO Anja,7,Nacra,21,G,28,,396,363,Semaine Olympique Francaise De Voile 2022,R3
YADAV Ekta BHAIYA Karthik,7,Nacra,27,G,29,,443,410,Semaine Olympique Francaise De Voile 2022,R3
TINDALE Daniel HEMMING Hebe,7,Nacra,DNF,G,30,,479,446,Semaine Olympique Francaise De Voile 2022,R3
MARTINSEN Nicholas Fadle MORTENSEN Martine Steller,7,Nacra,DNF,G,31,,495,462,Semaine Olympique Francaise De Voile 2022,R3
HIRSCH Arto ORSOLINI Elettra,7,Nacra,DNF,G,31EX,,495,462,Semaine Olympique Francaise De Voile 2022,R3
TITA Ruggero BANTI Caterina,7,Nacra,4,G,1,,42,36,Semaine Olympique Francaise De Voile 2022,R4
GIMSON John BURNET Anna,7,Nacra,1,G,2,,70,54,Semaine Olympique Francaise De Voile 2022,R4
KURTBAY Sinem KESKINEN Akseli,7,Nacra,3,G,3,,86,72,Semaine Olympique Francaise De Voile 2022,R4
WATERHOUSE Jason DARMANIN Lisa,7,Nacra,2,G,4,,118,97,Semaine Olympique Francaise De Voile 2022,R4
WILKINSON Micah DAWSON Erica,7,Nacra,(16.0),G,5,,121,105,Semaine Olympique Francaise De Voile 2022,R4
UGOLINI Gianluigi GIUBILEI Maria,7,Nacra,5,G,6,,149,116,Semaine Olympique Francaise De Voile 2022,R4
MAJDALANI Mateo BOSCO Eugenia,7,Nacra,12,G,7,,149,133,Semaine Olympique Francaise De Voile 2022,R4
SAOUMA-PEDERSEN Natac BORRESKOV Mathias Bruun,7,Nacra,8,G,8,,152,136,Semaine Olympique Francaise De Voile 2022,R4
VAN DER MEER Laila BOUWER Bjarne,7,Nacra,9,G,9,,158,136,Semaine Olympique Francaise De Voile 2022,R4
SVENSSON Ida DACKHAMMAR Marcus,7,Nacra,6,G,10,,179,156,Semaine Olympique Francaise De Voile 2022,R4
JARUDD Emil JONSSON Hanna,7,Nacra,13,G,11,,170,149,Semaine Olympique Francaise De Voile 2022,R4
BERTHOMIEU Lou MOURNIAC Tim,7,Nacra,11,G,12,,172,155,Semaine Olympique Francaise De Voile 2022,R4
FARESE Laura ZOCHLING MatthÃ¤us,7,Nacra,7,G,13,,195,176,Semaine Olympique Francaise De Voile 2022,R4
NEWBERRY-MOORE Sarah LIEBENBERG David,7,Nacra,(24.0),G,14,,210,186,Semaine Olympique Francaise De Voile 2022,R4
LIDDELL Jake COPELAND Lucy,7,Nacra,14,G,15,,226,202,Semaine Olympique Francaise De Voile 2022,R4
BESSON Billy ANCIAN Noa,7,Nacra,UFD,G,16,,244,211,Semaine Olympique Francaise De Voile 2022,R4
LANGE Santiago TRAVASCIO Victoria,7,Nacra,20,G,17,,240,212,Semaine Olympique Francaise De Voile 2022,R4
PASCHALIDIS IORDANIS PAPADOPOULOU MYRTO,7,Nacra,10,G,18,,246,213,Semaine Olympique Francaise De Voile 2022,R4
BILLY Margaux MAURIN Leo,7,Nacra,17,G,19,,269,246,Semaine Olympique Francaise De Voile 2022,R4
LIU Justin LIM Denise,7,Nacra,UFD,G,20,,299,266,Semaine Olympique Francaise De Voile 2022,R4
PETARD Titouan SALOU Chloe,7,Nacra,DNF,G,21,,316,283,Semaine Olympique Francaise De Voile 2022,R4
BALANGER Enzo DUBOIS Roxane,7,Nacra,15,G,22,,318,285,Semaine Olympique Francaise De Voile 2022,R4
CRAIN Carson ATWOOOD Caroline,7,Nacra,18,G,23,,321,288,Semaine Olympique Francaise De Voile 2022,R4
BOOTH Ruben BOOTH Rita,7,Nacra,21,G,24,,362,329,Semaine Olympique Francaise De Voile 2022,R4
HABERL Lukas FRANK Tanja,7,Nacra,DNF,G,25,,362,329,Semaine Olympique Francaise De Voile 2022,R4
JONES Emma PUTTMAN Max,7,Nacra,23,G,26,,377,349,Semaine Olympique Francaise De Voile 2022,R4
SEGURA Iset FERNANDEZ FUERTES Marcos,7,Nacra,19,G,27,,383,350,Semaine Olympique Francaise De Voile 2022,R4
ASCHIERI Andrea CAMUSSO Anja,7,Nacra,22,G,28,,396,363,Semaine Olympique Francaise De Voile 2022,R4
YADAV Ekta BHAIYA Karthik,7,Nacra,25,G,29,,443,410,Semaine Olympique Francaise De Voile 2022,R4
TINDALE Daniel HEMMING Hebe,7,Nacra,26,G,30,,479,446,Semaine Olympique Francaise De Voile 2022,R4
MARTINSEN Nicholas Fadle MORTENSEN Martine Steller,7,Nacra,DNF,G,31,,495,462,Semaine Olympique Francaise De Voile 2022,R4
HIRSCH Arto ORSOLINI Elettra,7,Nacra,DNF,G,31EX,,495,462,Semaine Olympique Francaise De Voile 2022,R4
TITA Ruggero BANTI Caterina,7,Nacra,1,G,1,,42,36,Semaine Olympique Francaise De Voile 2022,R5
GIMSON John BURNET Anna,7,Nacra,5,G,2,,70,54,Semaine Olympique Francaise De Voile 2022,R5
KURTBAY Sinem KESKINEN Akseli,7,Nacra,2,G,3,,86,72,Semaine Olympique Francaise De Voile 2022,R5
WATERHOUSE Jason DARMANIN Lisa,7,Nacra,7,G,4,,118,97,Semaine Olympique Francaise De Voile 2022,R5
WILKINSON Micah DAWSON Erica,7,Nacra,6,G,5,,121,105,Semaine Olympique Francaise De Voile 2022,R5
UGOLINI Gianluigi GIUBILEI Maria,7,Nacra,4,G,6,,149,116,Semaine Olympique Francaise De Voile 2022,R5
MAJDALANI Mateo BOSCO Eugenia,7,Nacra,10,G,7,,149,133,Semaine Olympique Francaise De Voile 2022,R5
SAOUMA-PEDERSEN Natac BORRESKOV Mathias Bruun,7,Nacra,12,G,8,,152,136,Semaine Olympique Francaise De Voile 2022,R5
VAN DER MEER Laila BOUWER Bjarne,7,Nacra,3,G,9,,158,136,Semaine Olympique Francaise De Voile 2022,R5
SVENSSON Ida DACKHAMMAR Marcus,7,Nacra,8,G,10,,179,156,Semaine Olympique Francaise De Voile 2022,R5
JARUDD Emil JONSSON Hanna,7,Nacra,17,G,11,,170,149,Semaine Olympique Francaise De Voile 2022,R5
BERTHOMIEU Lou MOURNIAC Tim,7,Nacra,9,G,12,,172,155,Semaine Olympique Francaise De Voile 2022,R5
FARESE Laura ZOCHLING MatthÃ¤us,7,Nacra,14,G,13,,195,176,Semaine Olympique Francaise De Voile 2022,R5
NEWBERRY-MOORE Sarah LIEBENBERG David,7,Nacra,21,G,14,,210,186,Semaine Olympique Francaise De Voile 2022,R5
LIDDELL Jake COPELAND Lucy,7,Nacra,13,G,15,,226,202,Semaine Olympique Francaise De Voile 2022,R5
BESSON Billy ANCIAN Noa,7,Nacra,16,G,16,,244,211,Semaine Olympique Francaise De Voile 2022,R5
LANGE Santiago TRAVASCIO Victoria,7,Nacra,19,G,17,,240,212,Semaine Olympique Francaise De Voile 2022,R5
PASCHALIDIS IORDANIS PAPADOPOULOU MYRTO,7,Nacra,18,G,18,,246,213,Semaine Olympique Francaise De Voile 2022,R5
BILLY Margaux MAURIN Leo,7,Nacra,15,G,19,,269,246,Semaine Olympique Francaise De Voile 2022,R5
LIU Justin LIM Denise,7,Nacra,22,G,20,,299,266,Semaine Olympique Francaise De Voile 2022,R5
PETARD Titouan SALOU Chloe,7,Nacra,11,G,21,,316,283,Semaine Olympique Francaise De Voile 2022,R5
BALANGER Enzo DUBOIS Roxane,7,Nacra,20,G,22,,318,285,Semaine Olympique Francaise De Voile 2022,R5
CRAIN Carson ATWOOOD Caroline,7,Nacra,24,G,23,,321,288,Semaine Olympique Francaise De Voile 2022,R5
BOOTH Ruben BOOTH Rita,7,Nacra,26,G,24,,362,329,Semaine Olympique Francaise De Voile 2022,R5
HABERL Lukas FRANK Tanja,7,Nacra,DNF,G,25,,362,329,Semaine Olympique Francaise De Voile 2022,R5
JONES Emma PUTTMAN Max,7,Nacra,25,G,26,,377,349,Semaine Olympique Francaise De Voile 2022,R5
SEGURA Iset FERNANDEZ FUERTES Marcos,7,Nacra,23,G,27,,383,350,Semaine Olympique Francaise De Voile 2022,R5
ASCHIERI Andrea CAMUSSO Anja,7,Nacra,UFD,G,28,,396,363,Semaine Olympique Francaise De Voile 2022,R5
YADAV Ekta BHAIYA Karthik,7,Nacra,27,G,29,,443,410,Semaine Olympique Francaise De Voile 2022,R5
TINDALE Daniel HEMMING Hebe,7,Nacra,DNF,G,30,,479,446,Semaine Olympique Francaise De Voile 2022,R5
MARTINSEN Nicholas Fadle MORTENSEN Martine Steller,7,Nacra,DNF,G,31,,495,462,Semaine Olympique Francaise De Voile 2022,R5
HIRSCH Arto ORSOLINI Elettra,7,Nacra,DNF,G,31EX,,495,462,Semaine Olympique Francaise De Voile 2022,R5
TITA Ruggero BANTI Caterina,7,Nacra,1,G,1,,42,36,Semaine Olympique Francaise De Voile 2022,R6
GIMSON John BURNET Anna,7,Nacra,4,G,2,,70,54,Semaine Olympique Francaise De Voile 2022,R6
KURTBAY Sinem KESKINEN Akseli,7,Nacra,2,G,3,,86,72,Semaine Olympique Francaise De Voile 2022,R6
WATERHOUSE Jason DARMANIN Lisa,7,Nacra,7,G,4,,118,97,Semaine Olympique Francaise De Voile 2022,R6
WILKINSON Micah DAWSON Erica,7,Nacra,3,G,5,,121,105,Semaine Olympique Francaise De Voile 2022,R6
UGOLINI Gianluigi GIUBILEI Maria,7,Nacra,13,G,6,,149,116,Semaine Olympique Francaise De Voile 2022,R6
MAJDALANI Mateo BOSCO Eugenia,7,Nacra,10,G,7,,149,133,Semaine Olympique Francaise De Voile 2022,R6
SAOUMA-PEDERSEN Natac BORRESKOV Mathias Bruun,7,Nacra,11,G,8,,152,136,Semaine Olympique Francaise De Voile 2022,R6
VAN DER MEER Laila BOUWER Bjarne,7,Nacra,5,G,9,,158,136,Semaine Olympique Francaise De Voile 2022,R6
SVENSSON Ida DACKHAMMAR Marcus,7,Nacra,6,G,10,,179,156,Semaine Olympique Francaise De Voile 2022,R6
JARUDD Emil JONSSON Hanna,7,Nacra,18,G,11,,170,149,Semaine Olympique Francaise De Voile 2022,R6
BERTHOMIEU Lou MOURNIAC Tim,7,Nacra,8,G,12,,172,155,Semaine Olympique Francaise De Voile 2022,R6
FARESE Laura ZOCHLING MatthÃ¤us,7,Nacra,16,G,13,,195,176,Semaine Olympique Francaise De Voile 2022,R6
NEWBERRY-MOORE Sarah LIEBENBERG David,7,Nacra,9,G,14,,210,186,Semaine Olympique Francaise De Voile 2022,R6
LIDDELL Jake COPELAND Lucy,7,Nacra,21,G,15,,226,202,Semaine Olympique Francaise De Voile 2022,R6
BESSON Billy ANCIAN Noa,7,Nacra,15,G,16,,244,211,Semaine Olympique Francaise De Voile 2022,R6
LANGE Santiago TRAVASCIO Victoria,7,Nacra,12,G,17,,240,212,Semaine Olympique Francaise De Voile 2022,R6
PASCHALIDIS IORDANIS PAPADOPOULOU MYRTO,7,Nacra,14,G,18,,246,213,Semaine Olympique Francaise De Voile 2022,R6
BILLY Margaux MAURIN Leo,7,Nacra,17,G,19,,269,246,Semaine Olympique Francaise De Voile 2022,R6
LIU Justin LIM Denise,7,Nacra,23,G,20,,299,266,Semaine Olympique Francaise De Voile 2022,R6
PETARD Titouan SALOU Chloe,7,Nacra,19,G,21,,316,283,Semaine Olympique Francaise De Voile 2022,R6
BALANGER Enzo DUBOIS Roxane,7,Nacra,22,G,22,,318,285,Semaine Olympique Francaise De Voile 2022,R6
CRAIN Carson ATWOOOD Caroline,7,Nacra,29,G,23,,321,288,Semaine Olympique Francaise De Voile 2022,R6
BOOTH Ruben BOOTH Rita,7,Nacra,25,G,24,,362,329,Semaine Olympique Francaise De Voile 2022,R6
HABERL Lukas FRANK Tanja,7,Nacra,20,G,25,,362,329,Semaine Olympique Francaise De Voile 2022,R6
JONES Emma PUTTMAN Max,7,Nacra,24,G,26,,377,349,Semaine Olympique Francaise De Voile 2022,R6
SEGURA Iset FERNANDEZ FUERTES Marcos,7,Nacra,27,G,27,,383,350,Semaine Olympique Francaise De Voile 2022,R6
ASCHIERI Andrea CAMUSSO Anja,7,Nacra,28,G,28,,396,363,Semaine Olympique Francaise De Voile 2022,R6
YADAV Ekta BHAIYA Karthik,7,Nacra,26,G,29,,443,410,Semaine Olympique Francaise De Voile 2022,R6
TINDALE Daniel HEMMING Hebe,7,Nacra,30,G,30,,479,446,Semaine Olympique Francaise De Voile 2022,R6
MARTINSEN Nicholas Fadle MORTENSEN Martine Steller,7,Nacra,DNF,G,31,,495,462,Semaine Olympique Francaise De Voile 2022,R6
HIRSCH Arto ORSOLINI Elettra,7,Nacra,DNF,G,31EX,,495,462,Semaine Olympique Francaise De Voile 2022,R6
TITA Ruggero BANTI Caterina,7,Nacra,1,G,1,,42,36,Semaine Olympique Francaise De Voile 2022,R7
GIMSON John BURNET Anna,7,Nacra,5,G,2,,70,54,Semaine Olympique Francaise De Voile 2022,R7
KURTBAY Sinem KESKINEN Akseli,7,Nacra,2,G,3,,86,72,Semaine Olympique Francaise De Voile 2022,R7
WATERHOUSE Jason DARMANIN Lisa,7,Nacra,6,G,4,,118,97,Semaine Olympique Francaise De Voile 2022,R7
WILKINSON Micah DAWSON Erica,7,Nacra,3,G,5,,121,105,Semaine Olympique Francaise De Voile 2022,R7
UGOLINI Gianluigi GIUBILEI Maria,7,Nacra,7,G,6,,149,116,Semaine Olympique Francaise De Voile 2022,R7
MAJDALANI Mateo BOSCO Eugenia,7,Nacra,9,G,7,,149,133,Semaine Olympique Francaise De Voile 2022,R7
SAOUMA-PEDERSEN Natac BORRESKOV Mathias Bruun,7,Nacra,8,G,8,,152,136,Semaine Olympique Francaise De Voile 2022,R7
VAN DER MEER Laila BOUWER Bjarne,7,Nacra,4,G,9,,158,136,Semaine Olympique Francaise De Voile 2022,R7
SVENSSON Ida DACKHAMMAR Marcus,7,Nacra,15,G,10,,179,156,Semaine Olympique Francaise De Voile 2022,R7
JARUDD Emil JONSSON Hanna,7,Nacra,20,G,11,,170,149,Semaine Olympique Francaise De Voile 2022,R7
BERTHOMIEU Lou MOURNIAC Tim,7,Nacra,10,G,12,,172,155,Semaine Olympique Francaise De Voile 2022,R7
FARESE Laura ZOCHLING MatthÃ¤us,7,Nacra,12,G,13,,195,176,Semaine Olympique Francaise De Voile 2022,R7
NEWBERRY-MOORE Sarah LIEBENBERG David,7,Nacra,17,G,14,,210,186,Semaine Olympique Francaise De Voile 2022,R7
LIDDELL Jake COPELAND Lucy,7,Nacra,11,G,15,,226,202,Semaine Olympique Francaise De Voile 2022,R7
BESSON Billy ANCIAN Noa,7,Nacra,UFD,G,16,,244,211,Semaine Olympique Francaise De Voile 2022,R7
LANGE Santiago TRAVASCIO Victoria,7,Nacra,16,G,17,,240,212,Semaine Olympique Francaise De Voile 2022,R7
PASCHALIDIS IORDANIS PAPADOPOULOU MYRTO,7,Nacra,13,G,18,,246,213,Semaine Olympique Francaise De Voile 2022,R7
BILLY Margaux MAURIN Leo,7,Nacra,18,G,19,,269,246,Semaine Olympique Francaise De Voile 2022,R7
LIU Justin LIM Denise,7,Nacra,19,G,20,,299,266,Semaine Olympique Francaise De Voile 2022,R7
PETARD Titouan SALOU Chloe,7,Nacra,14,G,21,,316,283,Semaine Olympique Francaise De Voile 2022,R7
BALANGER Enzo DUBOIS Roxane,7,Nacra,24,G,22,,318,285,Semaine Olympique Francaise De Voile 2022,R7
CRAIN Carson ATWOOOD Caroline,7,Nacra,22,G,23,,321,288,Semaine Olympique Francaise De Voile 2022,R7
BOOTH Ruben BOOTH Rita,7,Nacra,23,G,24,,362,329,Semaine Olympique Francaise De Voile 2022,R7
HABERL Lukas FRANK Tanja,7,Nacra,21,G,25,,362,329,Semaine Olympique Francaise De Voile 2022,R7
JONES Emma PUTTMAN Max,7,Nacra,25,G,26,,377,349,Semaine Olympique Francaise De Voile 2022,R7
SEGURA Iset FERNANDEZ FUERTES Marcos,7,Nacra,DNF,G,27,,383,350,Semaine Olympique Francaise De Voile 2022,R7
ASCHIERI Andrea CAMUSSO Anja,7,Nacra,26,G,28,,396,363,Semaine Olympique Francaise De Voile 2022,R7
YADAV Ekta BHAIYA Karthik,7,Nacra,RET,G,29,,443,410,Semaine Olympique Francaise De Voile 2022,R7
TINDALE Daniel HEMMING Hebe,7,Nacra,27,G,30,,479,446,Semaine Olympique Francaise De Voile 2022,R7
