ID Resultado,ID Competidor,Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
,,JUAN BARTOLOME CHA VACCARI,3,Ilca 6,25,0,P,56,,210,176,Central and South American Championship 2023,Q1
,,JOSE LUIZ PEREZ FRAQUELLI,3,Ilca 6,29,0,P,57,,220,182,Central and South American Championship 2023,Q1
,,MARLENE RIQUELME ANTONETTI,3,Ilca 6,24,0,P,58,,220,182,Central and South American Championship 2023,Q1
,,IGNACIO GARCIA CANTELLI,3,Ilca 6,DNC,0,P,59,DNC,222,184,Central and South American Championship 2023,Q1
,,TOMAS ELIAS,3,Ilca 6,27,0,P,60,,228,190,Central and South American Championship 2023,Q1
,,MARIA LAURA CUETO,3,Ilca 6,32,0,P,61,,230,192,Central and South American Championship 2023,Q1
,,LISBETZY ROJO SALAZAR,3,Ilca 6,33,0,P,62,,228,195,Central and South American Championship 2023,Q1
,,SOFIA GIOVINAZZO VON THUMEN,3,Ilca 6,26,0,P,63,,229,199,Central and South American Championship 2023,Q1
,,BALTHAZAR REMOTTI,3,Ilca 6,22,0,P,64,,245,207,Central and South American Championship 2023,Q1
,,GABRIEL TORRE,3,Ilca 6,21,0,P,65,,246,208,Central and South American Championship 2023,Q1
,,INES ANTONI,3,Ilca 6,TLE,0,P,66,TLE,248,211,Central and South American Championship 2023,Q1
,,FACUNDO ALFARO JAIME,3,Ilca 6,24,0,P,67,,254,216,Central and South American Championship 2023,Q1
,,MARTIN IGLESIAS,3,Ilca 6,DNC,0,P,68,DNC,287,249,Central and South American Championship 2023,Q1
,,SABRINA FERRARA,3,Ilca 6,DNC,0,P,69,DNC,287,249,Central and South American Championship 2023,Q1
,,MARCELO ADOLFO GONZALEZ PONDAL,3,Ilca 6,20,0,P,70,,294,256,Central and South American Championship 2023,Q1
,,JUAN CRUZ PALOMBO,3,Ilca 6,DNC,0,P,71,DNC,306,268,Central and South American Championship 2023,Q1
,,MARCELO FREZZA,3,Ilca 6,DNC,0,P,72,DNC,332,294,Central and South American Championship 2023,Q1
,,AGUSTINA CANCLINI,3,Ilca 6,DNC,0,P,73,DNC,342,304,Central and South American Championship 2023,Q1
,,VICENTE FRANCISCO CURZI GHDINI,3,Ilca 6,DNC,0,P,74,DNC,342,304,Central and South American Championship 2023,Q1
,,ERICK MARCONDES DE M.CARPES,3,Ilca 6,1,0,O,1,,24,15,Central and South American Championship 2023,Q2
,,LUCIA FALASCA,3,Ilca 6,1,0,O,2,,34,22,Central and South American Championship 2023,Q2
,,GABRIELLA MARQUES KIDD,3,Ilca 6,4,0,O,3,,52,33,Central and South American Championship 2023,Q2
,,DOLORES MOREIRA FRASCHINI,3,Ilca 6,3,0,O,4,,52,37,Central and South American Championship 2023,Q2
,,FLORENCIA CHIARELLA SALAS,3,Ilca 6,4,0,O,5,,61,44,Central and South American Championship 2023,Q2
,,STEFANO ANDRE PENDOLA DE LA TORRE,3,Ilca 6,8,0,O,6,,69,54,Central and South American Championship 2023,Q2
,,THOMAS VIVES POTTHOFF,3,Ilca 6,3,0,O,7,,86,60,Central and South American Championship 2023,Q2
,,LUCIANA ANDREA CARDOZO,3,Ilca 6,2,0,O,8,,100,62,Central and South American Championship 2023,Q2
,,JULIAN MARIA DUARTE ARGERICH,3,Ilca 6,7,0,O,9,,80,63,Central and South American Championship 2023,Q2
,,FRANCISCO MAROTTA,3,Ilca 6,7,0,O,10,,105,78,Central and South American Championship 2023,Q2
,,JOAQUIN GALVAN,3,Ilca 6,8,0,O,11,,106,86,Central and South American Championship 2023,Q2
,,SOPHIE ZIMMERMANN VEJA,3,Ilca 6,12,0,O,12,,105,87,Central and South American Championship 2023,Q2
,,ANTONIO RIBEIRO MACHADO,3,Ilca 6,9,0,O,13,,120,89,Central and South American Championship 2023,Q2
,,CATERINA ISABEL ROMERO AGUIRRE,3,Ilca 6,12,0,O,14,,115,90,Central and South American Championship 2023,Q2
,,AGUSTIN GONZALEZ VILLALBA,3,Ilca 6,2,0,O,15,,122,90,Central and South American Championship 2023,Q2
,,FRANCISCO GOMEZ,3,Ilca 6,5,0,O,16,,130,92,Central and South American Championship 2023,Q2
,,CRISTINA CASTELLANOS ESTRADA,3,Ilca 6,10,0,O,17,,116,93,Central and South American Championship 2023,Q2
,,AGUSTINA JORDAN,3,Ilca 6,10,0,O,18,,128,98,Central and South American Championship 2023,Q2
,,"DELFINA ""DELFI! DE SETA DALLI",3,Ilca 6,11,0,O,19,,126,98,Central and South American Championship 2023,Q2
,,LUCAS MOMES RUIZ,3,Ilca 6,11,0,O,20,,136,103,Central and South American Championship 2023,Q2
,,NICOLAS CASTELARI RIVAS,3,Ilca 6,6,0,O,21,,127,103,Central and South American Championship 2023,Q2
,,NICO GAINSCHUK,3,Ilca 6,9,0,O,22,,135,109,Central and South American Championship 2023,Q2
,,MARIA GRACIA VEGAS TRIVELLI,3,Ilca 6,19,0,O,23,,147,116,Central and South American Championship 2023,Q2
,,FEDERICO SIEBERT FRANCAVILLA,3,Ilca 6,31,0,O,24,,155,117,Central and South American Championship 2023,Q2
,,JOAQUIM DUARTE ARGERICH,3,Ilca 6,20,0,O,25,,170,142,Central and South American Championship 2023,Q2
,,FELIPE WENZEL,3,Ilca 6,20,0,O,26,,197,162,Central and South American Championship 2023,Q2
,,NAINA MARIA PINTO,3,Ilca 6,6,0,O,27,,203,165,Central and South American Championship 2023,Q2
,,MATEO VIDAL,3,Ilca 6,DNC,0,O,28,DNC,206,168,Central and South American Championship 2023,Q2
,,FELIPE DE ROSA,3,Ilca 6,18,0,O,29,,201,168,Central and South American Championship 2023,Q2
,,ISABEL BUSCH,3,Ilca 6,13,0,O,30,,207,169,Central and South American Championship 2023,Q2
,,NICOLAS CASSESE,3,Ilca 6,15,0,O,31,,207,172,Central and South American Championship 2023,Q2
,,FELIPE ALVES TELES REVOREDO LIMA,3,Ilca 6,DNC,0,O,32,DNC,210,172,Central and South American Championship 2023,Q2
,,PEDRO RODRIGUEZ REYNOSO,3,Ilca 6,17,0,O,33,,211,173,Central and South American Championship 2023,Q2
,,JUAN PABLO CAROSI WARBURG,3,Ilca 6,22,0,O,34,,210,174,Central and South American Championship 2023,Q2
,,ARIEL ZERPA,3,Ilca 6,16,0,O,35,,213,176,Central and South American Championship 2023,Q2
