ID Resultado,ID Competidor,Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
,,MINA MOBEKK,,IQFOIL FEM.,15.0,0,,1,0,207,116,European Championship 2023,1Q
,,MINA MOBEKK,,IQFOIL FEM.,2.0,0,,1,0,207,116,European Championship 2023,2Q
,,MINA MOBEKK,,IQFOIL FEM.,6.0,0,,1,0,207,116,European Championship 2023,3Q
,,MINA MOBEKK,,IQFOIL FEM.,3.0,0,,1,0,207,116,European Championship 2023,4Q
,,MINA MOBEKK,,IQFOIL FEM.,3.0,0,,1,0,207,116,European Championship 2023,5Q
,,MINA MOBEKK,,IQFOIL FEM.,3.0,0,,1,0,207,116,European Championship 2023,6Q
,,MINA MOBEKK,,IQFOIL FEM.,10.0,0,,1,0,207,116,European Championship 2023,7Q
,,MINA MOBEKK,,IQFOIL FEM.,13.0,0,,1,0,207,116,European Championship 2023,8Q
,,MINA MOBEKK,,IQFOIL FEM.,4.0,0,,1,0,207,116,European Championship 2023,9F
,,MINA MOBEKK,,IQFOIL FEM.,8.0,0,,1,0,207,116,European Championship 2023,10F
,,MINA MOBEKK,,IQFOIL FEM.,9.0,0,,1,0,207,116,European Championship 2023,11F
,,MINA MOBEKK,,IQFOIL FEM.,14.0,0,,1,0,207,116,European Championship 2023,12F
,,MINA MOBEKK,,IQFOIL FEM.,5.0,0,,1,0,207,116,European Championship 2023,13F
,,MINA MOBEKK,,IQFOIL FEM.,25.0,0,,1,0,207,116,European Championship 2023,14F
,,MINA MOBEKK,,IQFOIL FEM.,3.0,0,,1,0,207,116,European Championship 2023,15F
,,MINA MOBEKK,,IQFOIL FEM.,29.0,0,,1,0,207,116,European Championship 2023,16F
,,MINA MOBEKK,,IQFOIL FEM.,17.0,0,,1,0,207,116,European Championship 2023,17F
,,MINA MOBEKK,,IQFOIL FEM.,4.0,0,,1,0,207,116,European Championship 2023,18F
,,MINA MOBEKK,,IQFOIL FEM.,34.0,0,,1,0,207,116,European Championship 2023,19F
,,MINA MOBEKK,,IQFOIL FEM.,1.0,0,,1,0,207,116,European Championship 2023,MR
,,SHARON KANTOR,,IQFOIL FEM.,15.0,0,,2,0,98,34,European Championship 2023,1Q
,,SHARON KANTOR,,IQFOIL FEM.,10.0,0,,2,0,98,34,European Championship 2023,2Q
,,SHARON KANTOR,,IQFOIL FEM.,2.0,0,,2,0,98,34,European Championship 2023,3Q
,,SHARON KANTOR,,IQFOIL FEM.,2.0,0,,2,0,98,34,European Championship 2023,4Q
,,SHARON KANTOR,,IQFOIL FEM.,1.0,0,,2,0,98,34,European Championship 2023,5Q
,,SHARON KANTOR,,IQFOIL FEM.,1.0,0,,2,0,98,34,European Championship 2023,6Q
,,SHARON KANTOR,,IQFOIL FEM.,1.0,0,,2,0,98,34,European Championship 2023,7Q
,,SHARON KANTOR,,IQFOIL FEM.,1.0,0,,2,0,98,34,European Championship 2023,8Q
,,SHARON KANTOR,,IQFOIL FEM.,1.0,0,,2,0,98,34,European Championship 2023,9F
,,SHARON KANTOR,,IQFOIL FEM.,2.0,0,,2,0,98,34,European Championship 2023,10F
,,SHARON KANTOR,,IQFOIL FEM.,1.0,0,,2,0,98,34,European Championship 2023,11F
,,SHARON KANTOR,,IQFOIL FEM.,1.0,0,,2,0,98,34,European Championship 2023,12F
,,SHARON KANTOR,,IQFOIL FEM.,27.0,0,,2,0,98,34,European Championship 2023,13F
,,SHARON KANTOR,,IQFOIL FEM.,7.0,0,,2,0,98,34,European Championship 2023,14F
,,SHARON KANTOR,,IQFOIL FEM.,7.0,0,,2,0,98,34,European Championship 2023,15F
,,SHARON KANTOR,,IQFOIL FEM.,3.0,0,,2,0,98,34,European Championship 2023,16F
,,SHARON KANTOR,,IQFOIL FEM.,12.0,0,,2,0,98,34,European Championship 2023,17F
,,SHARON KANTOR,,IQFOIL FEM.,3.0,0,,2,0,98,34,European Championship 2023,18F
,,SHARON KANTOR,,IQFOIL FEM.,1.0,0,,2,0,98,34,European Championship 2023,19F
,,SHARON KANTOR,,IQFOIL FEM.,2.0,0,,2,0,98,34,European Championship 2023,MR
,,EMMA WILSON,,IQFOIL FEM.,1.0,0,,3,0,"181,4","67,4",European Championship 2023,1Q
,,EMMA WILSON,,IQFOIL FEM.,3.0,0,,3,0,"181,4","67,4",European Championship 2023,2Q
,,EMMA WILSON,,IQFOIL FEM.,1.0,0,,3,0,"181,4","67,4",European Championship 2023,3Q
,,EMMA WILSON,,IQFOIL FEM.,3.0,0,,3,0,"181,4","67,4",European Championship 2023,4Q
,,EMMA WILSON,,IQFOIL FEM.,3.0,0,,3,0,"181,4","67,4",European Championship 2023,5Q
,,EMMA WILSON,,IQFOIL FEM.,6.0,0,,3,0,"181,4","67,4",European Championship 2023,6Q
,,EMMA WILSON,,IQFOIL FEM.,46.0,1,,3,BFD,"181,4","67,4",European Championship 2023,7Q
,,EMMA WILSON,,IQFOIL FEM.,2.0,0,,3,0,"181,4","67,4",European Championship 2023,8Q
,,EMMA WILSON,,IQFOIL FEM.,25.0,0,,3,0,"181,4","67,4",European Championship 2023,9F
,,EMMA WILSON,,IQFOIL FEM.,9.0,0,,3,0,"181,4","67,4",European Championship 2023,10F
,,EMMA WILSON,,IQFOIL FEM.,14.4,0,,3,RDG,"181,4","67,4",European Championship 2023,11F
,,EMMA WILSON,,IQFOIL FEM.,8.0,0,,3,0,"181,4","67,4",European Championship 2023,12F
