Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
MONCADA SANCHEZ ANA,7,Ilca 6,21.0,G,49,0,440,374,Semaine Olympique Francaise De Voile 2022,"Ra. 9
1",0
VITTECOQ CORALIE,7,Ilca 6,56.0,G,50,0,435,379,Semaine Olympique Francaise De Voile 2022,"Ra. 9
1",1
CALDECOAT PAIGE,7,Ilca 6,40.0,G,51,0,448,382,Semaine Olympique Francaise De Voile 2022,"Ra. 9
1",0
PENRUDDOCKE ADRIANA,7,Ilca 6,54.0,G,52,0,443,386,Semaine Olympique Francaise De Voile 2022,"Ra. 9
1",0
RADULIC MAILYS,7,Ilca 6,43.0,G,53,0,446,388,Semaine Olympique Francaise De Voile 2022,"Ra. 9
1",0
STANNAGE SYLVIE,7,Ilca 6,26.0,G,54,0,452,395,Semaine Olympique Francaise De Voile 2022,"Ra. 9
1",0
JUNG HYEWON,7,Ilca 6,46.0,G,55,0,454,396,Semaine Olympique Francaise De Voile 2022,"Ra. 9
1",0
LUBAC THEA,7,Ilca 6,30.0,G,56,0,472,414,Semaine Olympique Francaise De Voile 2022,"Ra. 9
1",0
JORDAN AGUSTINA,7,Ilca 6,48.0,G,57,0,479,422,Semaine Olympique Francaise De Voile 2022,"Ra. 9
1",0
PARK JEONGBIN,7,Ilca 6,55.0,G,58,0,497,437,Semaine Olympique Francaise De Voile 2022,"Ra. 9
1",0
MANSY KHOULOUD,7,Ilca 6,57.0,G,59,0,512,451,Semaine Olympique Francaise De Voile 2022,"Ra. 9
1",0
ROIHU KATARIINA,7,Ilca 6,62.0,G,60,0,531,469,Semaine Olympique Francaise De Voile 2022,"Ra. 9
1",1
NAUMENKO SOFIIA,7,Ilca 6,61.0,G,61,0,558,496,Semaine Olympique Francaise De Voile 2022,"Ra. 9
1",0
RAAMAT ELIISE,7,Ilca 6,59.0,G,62,0,565,504,Semaine Olympique Francaise De Voile 2022,"Ra. 9
1",0
NORSELL MICHALA,7,Ilca 6,42.0,G,63,0,600,534,Semaine Olympique Francaise De Voile 2022,"Ra. 9
1",0
VEERAVAMSHAM VAISHNAVI,7,Ilca 6,60.0,G,64,0,616,550,Semaine Olympique Francaise De Voile 2022,"Ra. 9
1",0
VLACHOU MARIA,7,Ilca 6,66.0,G,65,DNF,660,594,Semaine Olympique Francaise De Voile 2022,"Ra. 9
1",0
BARWINSKA AGATA,7,Ilca 6,14.0,G,1,0,105,86,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
BARRUE MARIE,7,Ilca 6,10.0,G,2,0,139,111,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
CERVERA LOUISE,7,Ilca 6,6.0,G,3,0,138,113,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
PLASSCHAERT EMMA,7,Ilca 6,2.0,G,4,0,181,115,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
DOUGLAS SARAH,7,Ilca 6,4.0,G,5,0,166,119,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
SNELLGROVE HANNAH,7,Ilca 6,12.0,G,6,0,161,128,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
BENINI FLORIANI CHIARA,7,Ilca 6,21.0,G,7,0,188,145,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
AKKERMAN MIRTHE,7,Ilca 6,17.0,G,8,0,180,149,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
STRANSKY MARA,7,Ilca 6,8.0,G,9,0,203,159,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
JONKER MAXIME,7,Ilca 6,15.0,G,10,0,235,169,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
MICHON PERNELLE,7,Ilca 6,11.0,G,11,0,208,164,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
COLLINGRIDGE DAISY,7,Ilca 6,25.0,G,12,0,217,166,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
KARACHALIOU VASILEIA,7,Ilca 6,27.0,G,13,0,207,171,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
VOROBEVA ELENA,7,Ilca 6,42.0,G,14,0,215,172,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
JAYET MAUD,7,Ilca 6,3.0,G,15,0,244,178,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
ANDRULYTE VIKTORIJA,7,Ilca 6,45.0,G,16,0,230,185,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",1
THOMSON ZOE,7,Ilca 6,44.0,G,17,0,251,185,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
CARDOZO LUCIANA,7,Ilca 6,26.0,G,18,0,240,185,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
BUESSELBERG JULIA,7,Ilca 6,1.0,G,19,0,256,190,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
MAKRI MARILENA,7,Ilca 6,7.0,G,20,0,241,192,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
IMENEO CASEY,7,Ilca 6,39.0,G,21,0,235,196,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
BOLOU MARIE,7,Ilca 6,22.0,G,22,0,249,197,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
FALASCA LUCIA,7,Ilca 6,13.0,G,23,0,247,199,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
NICHOLLS MATILDA,7,Ilca 6,16.0,G,24,0,244,204,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
ERDI MARIA,7,Ilca 6,20.0,G,25,0,281,215,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
PUJOL BAJO CRISTINA,7,Ilca 6,18.0,G,26,0,265,215,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
