Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
"DAHLBERG ANTON, KARLSSON LOVISA",7,470,1,G,1,0,45,35,Semaine Olympique Francaise De Voile 2022,R1,0
"MACHETTI HIPPOLYTE, RETORNAZ ALOISE",7,470,2,G,2,0,54,42,Semaine Olympique Francaise De Voile 2022,R1,0
"WANSER LUISE, AUTENRIETH PHILIPP",7,470,5,G,3,0,66,51,Semaine Olympique Francaise De Voile 2022,R1,0
"FERRARI GIACOMO, CARUSO BIANCA",7,470,3,G,4,0,68,53,Semaine Olympique Francaise De Voile 2022,R1,0
"VADLAU LARA, MAHR LUKAS",7,470,7,G,5,0,68,54,Semaine Olympique Francaise De Voile 2022,R1,0
"MERMOD YVES, SIEGENTHALER MAJA",7,470,10,G,6,0,71,55,Semaine Olympique Francaise De Voile 2022,R1,0
"XAMMAR JORDI, BRUGMAN NORA",7,470,9,G,7,0,82,55,Semaine Olympique Francaise De Voile 2022,R1,0
"WRIGLEY MARTIN, MCINTYRE EILIDH",7,470,3,G,8,0,87,60,Semaine Olympique Francaise De Voile 2022,R1,0
"KEIJU OKADA, YOSHIOKA MIHO",7,470,14,G,9,0,81,64,Semaine Olympique Francaise De Voile 2022,R1,0
"HEATHCOTE VITA, ORR RYAN",7,470,5,G,10,0,94,79,Semaine Olympique Francaise De Voile 2022,R1,0
"GRADONI MARCO, DUBBINI ALESSANDRA",7,470,6,G,11,0,87,60,Semaine Olympique Francaise De Voile 2022,R1,0
"CHARLWOOD CHRIS, CATT AMELIA",7,470,2,G,12,0,78,60,Semaine Olympique Francaise De Voile 2022,R1,0
DAHNKE THERES CIPRA MATTI,7,470,9,G,13,0,80,60,Semaine Olympique Francaise De Voile 2022,R1,0
"PACAUD MATISSE, DE GENNES LUCIE",7,470,8,G,14,0,76,61,Semaine Olympique Francaise De Voile 2022,R1,0
"WINKEL MALTE, WINKEL ANASTASIYA",7,470,1,G,15,0,83,62,Semaine Olympique Francaise De Voile 2022,R1,0
BOVER MARIA GARCIA PABLO,7,470,12,G,16,0,95,72,Semaine Olympique Francaise De Voile 2022,R1,0
"PAPOUTSOGLOU VASILIS, KLONARIDOU RAFAILINA",7,470,23.0,G,17,0,97,74,Semaine Olympique Francaise De Voile 2022,R1,1
"JERWOOD NIA, NICHOLAS CONOR",7,470,10,G,18,0,109,84,Semaine Olympique Francaise De Voile 2022,R1,0
"TOTIS ANDREW, LINUSSI ALICE",7,470,12,G,19,0,118,94,Semaine Olympique Francaise De Voile 2022,R1,0
"BERGSTROM OLIVIA, CHRISTENSSON HUGO",7,470,8,G,20,0,123,99,Semaine Olympique Francaise De Voile 2022,R1,0
"BERTA ELENA, IZZO JACOPO",7,470,13,G,21,0,122,103,Semaine Olympique Francaise De Voile 2022,R1,0
"FAHRNI LINDA, SCHUPBACH CYRIL",7,470,19,G,22,0,132,107,Semaine Olympique Francaise De Voile 2022,R1,0
"COSTA DIOGO, JOAO CAROLINA",7,470,15,G,23,0,136,109,Semaine Olympique Francaise De Voile 2022,R1,0
"DUQUE JULIANA, MARTINS RAFAEL",7,470,6,G,24,0,133,110,Semaine Olympique Francaise De Voile 2022,R1,0
"LE CLECH HUGO, COLOMBE JULIA",7,470,11,G,25,0,134,112,Semaine Olympique Francaise De Voile 2022,R1,0
TAVELLA MARIA BELA(C)N RENNA FRANCISCO,7,470,16,G,26,0,148,123,Semaine Olympique Francaise De Voile 2022,R1,0
"TAKAYAMA DAICHI, MORITA FUYUKA",7,470,4,G,27,0,97,70,Semaine Olympique Francaise De Voile 2022,R1,0
"CHO SUNGMIN, KIM JIA",7,470,14,G,28,0,100,82,Semaine Olympique Francaise De Voile 2022,R1,0
"LOFFLER THERESA, HOERR CHRISTOPHER",7,470,13,G,29,0,116,94,Semaine Olympique Francaise De Voile 2022,R1,0
"NORDSTROM LOUISA, BORNARTH TREVOR",7,470,4,G,30,0,121,95,Semaine Olympique Francaise De Voile 2022,R1,0
"KIM CHANGJU, LEE JIHEE",7,470,21.0,G,31,0,117,96,Semaine Olympique Francaise De Voile 2022,R1,1
"BALLESTER BOVER NEUS, DAVILA MATEU",7,470,15,G,32,0,126,100,Semaine Olympique Francaise De Voile 2022,R1,0
"CINAR DENIZ, ASLAN SIMAY",7,470,7,G,33,0,120,100,Semaine Olympique Francaise De Voile 2022,R1,0
"REINO CACHO PATRICIA, GARCIA PORTELA PABLO",7,470,16,G,34,0,118,101,Semaine Olympique Francaise De Voile 2022,R1,0
"AMAR PAOLA, MICHAL ELIOTT",7,470,22.0,G,35,0,130,108,Semaine Olympique Francaise De Voile 2022,R1,1
"LEFORT MARINA, BUNEL JULIEN",7,470,27.0,G,36,RET,136,109,Semaine Olympique Francaise De Voile 2022,R1,1
"BLANDIN CASSANDRE, BRETAGNE CORENTIN",7,470,20,G,37,0,132,109,Semaine Olympique Francaise De Voile 2022,R1,0
"FLANDORFFER AMELIE, WILLIOT PIERRE",7,470,18,G,38,0,137,111,Semaine Olympique Francaise De Voile 2022,R1,0
"KIM JIHOON, LEE NAKYUNG",7,470,17,G,39,0,142,117,Semaine Olympique Francaise De Voile 2022,R1,0
"GAGO BEATRIZ, PIRES RODOLFO",7,470,17,G,40,0,148,121,Semaine Olympique Francaise De Voile 2022,R1,0
SHARMA RAVINDRA KUMAR CHOUHAN UMA,7,470,19,G,41,0,163,137,Semaine Olympique Francaise De Voile 2022,R1,0
"TULCAIL EFE, DANISMEND DEFNE",7,470,21,G,42,0,160,138,Semaine Olympique Francaise De Voile 2022,R1,0
"JACKSON SOPHIE, HIGGINS ANGUS",7,470,24.0,G,43,0,168,144,Semaine Olympique Francaise De Voile 2022,R1,1
"SARAVANAN RAMYA, REDDY CHS",7,470,20,G,44,0,168,145,Semaine Olympique Francaise De Voile 2022,R1,0
"PUKROPSKI LAURA, SCHLA 1/4TER THORBEN",7,470,11,G,45,0,180,153,Semaine Olympique Francaise De Voile 2022,R1,0
"CANDELA LAURIE, OSLIAK DENYS",7,470,27.0,G,46,UFD,189,162,Semaine Olympique Francaise De Voile 2022,R1,1
"RUIZ PONCE PABLO, PENARRUBIA RAMOS MARTA",7,470,18,G,47,0,197,170,Semaine Olympique Francaise De Voile 2022,R1,0
"CASERTANO AURORA, MATARAZZO LEONARDO",7,470,22,G,48,0,201,174,Semaine Olympique Francaise De Voile 2022,R1,0
"KHNG GRISELDA, CHEW JUSTIN",7,470,27.0,G,49,RET,213,186,Semaine Olympique Francaise De Voile 2022,R1,1
"VERMA SHRADDHA, VERMA SHRADDHA",7,470,27.0,G,50,DNF,240,213,Semaine Olympique Francaise De Voile 2022,R1,1
"PENNANEAC'H MANON, BARTHELEMY AURELIEN",7,470,27.0,G,50/0,DNF,240,213,Semaine Olympique Francaise De Voile 2022,R1,1
"DAHLBERG ANTON, KARLSSON LOVISA",7,470,2,G,1,0,45,35,Semaine Olympique Francaise De Voile 2022,R2,0
"MACHETTI HIPPOLYTE, RETORNAZ ALOISE",7,470,1,G,2,0,54,42,Semaine Olympique Francaise De Voile 2022,R2,0
"WANSER LUISE, AUTENRIETH PHILIPP",7,470,1,G,3,0,66,51,Semaine Olympique Francaise De Voile 2022,R2,0
"FERRARI GIACOMO, CARUSO BIANCA",7,470,9,G,4,0,68,53,Semaine Olympique Francaise De Voile 2022,R2,0
"VADLAU LARA, MAHR LUKAS",7,470,4,G,5,0,68,54,Semaine Olympique Francaise De Voile 2022,R2,0
"MERMOD YVES, SIEGENTHALER MAJA",7,470,10,G,6,0,71,55,Semaine Olympique Francaise De Voile 2022,R2,0
"XAMMAR JORDI, BRUGMAN NORA",7,470,3,G,7,0,82,55,Semaine Olympique Francaise De Voile 2022,R2,0
"WRIGLEY MARTIN, MCINTYRE EILIDH",7,470,5,G,8,0,87,60,Semaine Olympique Francaise De Voile 2022,R2,0
"KEIJU OKADA, YOSHIOKA MIHO",7,470,7,G,9,0,81,64,Semaine Olympique Francaise De Voile 2022,R2,0
"HEATHCOTE VITA, ORR RYAN",7,470,5,G,10,0,94,79,Semaine Olympique Francaise De Voile 2022,R2,0
"GRADONI MARCO, DUBBINI ALESSANDRA",7,470,3,G,11,0,87,60,Semaine Olympique Francaise De Voile 2022,R2,0
"CHARLWOOD CHRIS, CATT AMELIA",7,470,6,G,12,0,78,60,Semaine Olympique Francaise De Voile 2022,R2,0
DAHNKE THERES CIPRA MATTI,7,470,6,G,13,0,80,60,Semaine Olympique Francaise De Voile 2022,R2,0
"PACAUD MATISSE, DE GENNES LUCIE",7,470,4,G,14,0,76,61,Semaine Olympique Francaise De Voile 2022,R2,0
"WINKEL MALTE, WINKEL ANASTASIYA",7,470,2,G,15,0,83,62,Semaine Olympique Francaise De Voile 2022,R2,0
BOVER MARIA GARCIA PABLO,7,470,13,G,16,0,95,72,Semaine Olympique Francaise De Voile 2022,R2,0
"PAPOUTSOGLOU VASILIS, KLONARIDOU RAFAILINA",7,470,8,G,17,0,97,74,Semaine Olympique Francaise De Voile 2022,R2,0
"JERWOOD NIA, NICHOLAS CONOR",7,470,11,G,18,0,109,84,Semaine Olympique Francaise De Voile 2022,R2,0
"TOTIS ANDREW, LINUSSI ALICE",7,470,15,G,19,0,118,94,Semaine Olympique Francaise De Voile 2022,R2,0
"BERGSTROM OLIVIA, CHRISTENSSON HUGO",7,470,7,G,20,0,123,99,Semaine Olympique Francaise De Voile 2022,R2,0
"BERTA ELENA, IZZO JACOPO",7,470,10,G,21,0,122,103,Semaine Olympique Francaise De Voile 2022,R2,0
"FAHRNI LINDA, SCHUPBACH CYRIL",7,470,14,G,22,0,132,107,Semaine Olympique Francaise De Voile 2022,R2,0
"COSTA DIOGO, JOAO CAROLINA",7,470,9,G,23,0,136,109,Semaine Olympique Francaise De Voile 2022,R2,0
"DUQUE JULIANA, MARTINS RAFAEL",7,470,12,G,24,0,133,110,Semaine Olympique Francaise De Voile 2022,R2,0
"LE CLECH HUGO, COLOMBE JULIA",7,470,8,G,25,0,134,112,Semaine Olympique Francaise De Voile 2022,R2,0
TAVELLA MARIA BELA(C)N RENNA FRANCISCO,7,470,24,G,26,0,148,123,Semaine Olympique Francaise De Voile 2022,R2,0
"TAKAYAMA DAICHI, MORITA FUYUKA",7,470,11,G,27,0,97,70,Semaine Olympique Francaise De Voile 2022,R2,0
"CHO SUNGMIN, KIM JIA",7,470,18.0,G,28,0,100,82,Semaine Olympique Francaise De Voile 2022,R2,1
"LOFFLER THERESA, HOERR CHRISTOPHER",7,470,22.0,G,29,0,116,94,Semaine Olympique Francaise De Voile 2022,R2,1
"NORDSTROM LOUISA, BORNARTH TREVOR",7,470,21,G,30,0,121,95,Semaine Olympique Francaise De Voile 2022,R2,0
"KIM CHANGJU, LEE JIHEE",7,470,18,G,31,0,117,96,Semaine Olympique Francaise De Voile 2022,R2,0
"BALLESTER BOVER NEUS, DAVILA MATEU",7,470,13,G,32,0,126,100,Semaine Olympique Francaise De Voile 2022,R2,0
"CINAR DENIZ, ASLAN SIMAY",7,470,17,G,33,0,120,100,Semaine Olympique Francaise De Voile 2022,R2,0
"REINO CACHO PATRICIA, GARCIA PORTELA PABLO",7,470,16,G,34,0,118,101,Semaine Olympique Francaise De Voile 2022,R2,0
"AMAR PAOLA, MICHAL ELIOTT",7,470,20,G,35,0,130,108,Semaine Olympique Francaise De Voile 2022,R2,0
"LEFORT MARINA, BUNEL JULIEN",7,470,12,G,36,0,136,109,Semaine Olympique Francaise De Voile 2022,R2,0
"BLANDIN CASSANDRE, BRETAGNE CORENTIN",7,470,23.0,G,37,0,132,109,Semaine Olympique Francaise De Voile 2022,R2,1
"FLANDORFFER AMELIE, WILLIOT PIERRE",7,470,15,G,38,0,137,111,Semaine Olympique Francaise De Voile 2022,R2,0
"KIM JIHOON, LEE NAKYUNG",7,470,19,G,39,0,142,117,Semaine Olympique Francaise De Voile 2022,R2,0
"GAGO BEATRIZ, PIRES RODOLFO",7,470,20,G,40,0,148,121,Semaine Olympique Francaise De Voile 2022,R2,0
SHARMA RAVINDRA KUMAR CHOUHAN UMA,7,470,14,G,41,0,163,137,Semaine Olympique Francaise De Voile 2022,R2,0
"TULCAIL EFE, DANISMEND DEFNE",7,470,19,G,42,0,160,138,Semaine Olympique Francaise De Voile 2022,R2,0
"JACKSON SOPHIE, HIGGINS ANGUS",7,470,21,G,43,0,168,144,Semaine Olympique Francaise De Voile 2022,R2,0
"SARAVANAN RAMYA, REDDY CHS",7,470,17,G,44,0,168,145,Semaine Olympique Francaise De Voile 2022,R2,0
"PUKROPSKI LAURA, SCHLA 1/4TER THORBEN",7,470,16,G,45,0,180,153,Semaine Olympique Francaise De Voile 2022,R2,0
"CANDELA LAURIE, OSLIAK DENYS",7,470,25,G,46,0,189,162,Semaine Olympique Francaise De Voile 2022,R2,0
"RUIZ PONCE PABLO, PENARRUBIA RAMOS MARTA",7,470,27.0,G,47,DNF,197,170,Semaine Olympique Francaise De Voile 2022,R2,1
"CASERTANO AURORA, MATARAZZO LEONARDO",7,470,27.0,G,48,DNF,201,174,Semaine Olympique Francaise De Voile 2022,R2,1
"KHNG GRISELDA, CHEW JUSTIN",7,470,,G,49,DNF,213,186,Semaine Olympique Francaise De Voile 2022,R2,0
"VERMA SHRADDHA, VERMA SHRADDHA",7,470,,G,50,DNF,240,213,Semaine Olympique Francaise De Voile 2022,R2,0
"PENNANEAC'H MANON, BARTHELEMY AURELIEN",7,470,,G,50/0,DNF,240,213,Semaine Olympique Francaise De Voile 2022,R2,0
"DAHLBERG ANTON, KARLSSON LOVISA",7,470,3,G,1,0,45,35,Semaine Olympique Francaise De Voile 2022,R3,0
"MACHETTI HIPPOLYTE, RETORNAZ ALOISE",7,470,2,G,2,0,54,42,Semaine Olympique Francaise De Voile 2022,R3,0
"WANSER LUISE, AUTENRIETH PHILIPP",7,470,1,G,3,0,66,51,Semaine Olympique Francaise De Voile 2022,R3,0
"FERRARI GIACOMO, CARUSO BIANCA",7,470,1,G,4,0,68,53,Semaine Olympique Francaise De Voile 2022,R3,0
"VADLAU LARA, MAHR LUKAS",7,470,6,G,5,0,68,54,Semaine Olympique Francaise De Voile 2022,R3,0
"MERMOD YVES, SIEGENTHALER MAJA",7,470,7,G,6,0,71,55,Semaine Olympique Francaise De Voile 2022,R3,0
"XAMMAR JORDI, BRUGMAN NORA",7,470,27.0,G,7,UFD,82,55,Semaine Olympique Francaise De Voile 2022,R3,1
"WRIGLEY MARTIN, MCINTYRE EILIDH",7,470,2,G,8,0,87,60,Semaine Olympique Francaise De Voile 2022,R3,0
"KEIJU OKADA, YOSHIOKA MIHO",7,470,6,G,9,0,81,64,Semaine Olympique Francaise De Voile 2022,R3,0
"HEATHCOTE VITA, ORR RYAN",7,470,3,G,10,0,94,79,Semaine Olympique Francaise De Voile 2022,R3,0
"GRADONI MARCO, DUBBINI ALESSANDRA",7,470,5,G,11,0,87,60,Semaine Olympique Francaise De Voile 2022,R3,0
"CHARLWOOD CHRIS, CATT AMELIA",7,470,11,G,12,0,78,60,Semaine Olympique Francaise De Voile 2022,R3,0
DAHNKE THERES CIPRA MATTI,7,470,4,G,13,0,80,60,Semaine Olympique Francaise De Voile 2022,R3,0
"PACAUD MATISSE, DE GENNES LUCIE",7,470,4,G,14,0,76,61,Semaine Olympique Francaise De Voile 2022,R3,0
"WINKEL MALTE, WINKEL ANASTASIYA",7,470,8,G,15,0,83,62,Semaine Olympique Francaise De Voile 2022,R3,0
BOVER MARIA GARCIA PABLO,7,470,10,G,16,0,95,72,Semaine Olympique Francaise De Voile 2022,R3,0
"PAPOUTSOGLOU VASILIS, KLONARIDOU RAFAILINA",7,470,8,G,17,0,97,74,Semaine Olympique Francaise De Voile 2022,R3,0
"JERWOOD NIA, NICHOLAS CONOR",7,470,7,G,18,0,109,84,Semaine Olympique Francaise De Voile 2022,R3,0
"TOTIS ANDREW, LINUSSI ALICE",7,470,11,G,19,0,118,94,Semaine Olympique Francaise De Voile 2022,R3,0
"BERGSTROM OLIVIA, CHRISTENSSON HUGO",7,470,10,G,20,0,123,99,Semaine Olympique Francaise De Voile 2022,R3,0
"BERTA ELENA, IZZO JACOPO",7,470,9,G,21,0,122,103,Semaine Olympique Francaise De Voile 2022,R3,0
"FAHRNI LINDA, SCHUPBACH CYRIL",7,470,13,G,22,0,132,107,Semaine Olympique Francaise De Voile 2022,R3,0
"COSTA DIOGO, JOAO CAROLINA",7,470,9,G,23,0,136,109,Semaine Olympique Francaise De Voile 2022,R3,0
"DUQUE JULIANA, MARTINS RAFAEL",7,470,17,G,24,0,133,110,Semaine Olympique Francaise De Voile 2022,R3,0
"LE CLECH HUGO, COLOMBE JULIA",7,470,5,G,25,0,134,112,Semaine Olympique Francaise De Voile 2022,R3,0
TAVELLA MARIA BELA(C)N RENNA FRANCISCO,7,470,15,G,26,0,148,123,Semaine Olympique Francaise De Voile 2022,R3,0
"TAKAYAMA DAICHI, MORITA FUYUKA",7,470,27.0,G,27,UFD,97,70,Semaine Olympique Francaise De Voile 2022,R3,1
"CHO SUNGMIN, KIM JIA",7,470,13,G,28,0,100,82,Semaine Olympique Francaise De Voile 2022,R3,0
"LOFFLER THERESA, HOERR CHRISTOPHER",7,470,12,G,29,0,116,94,Semaine Olympique Francaise De Voile 2022,R3,0
"NORDSTROM LOUISA, BORNARTH TREVOR",7,470,14,G,30,0,121,95,Semaine Olympique Francaise De Voile 2022,R3,0
"KIM CHANGJU, LEE JIHEE",7,470,18,G,31,0,117,96,Semaine Olympique Francaise De Voile 2022,R3,0
"BALLESTER BOVER NEUS, DAVILA MATEU",7,470,20,G,32,0,126,100,Semaine Olympique Francaise De Voile 2022,R3,0
"CINAR DENIZ, ASLAN SIMAY",7,470,14,G,33,0,120,100,Semaine Olympique Francaise De Voile 2022,R3,0
"REINO CACHO PATRICIA, GARCIA PORTELA PABLO",7,470,17.0,G,34,0,118,101,Semaine Olympique Francaise De Voile 2022,R3,1
"AMAR PAOLA, MICHAL ELIOTT",7,470,18,G,35,0,130,108,Semaine Olympique Francaise De Voile 2022,R3,0
"LEFORT MARINA, BUNEL JULIEN",7,470,16,G,36,0,136,109,Semaine Olympique Francaise De Voile 2022,R3,0
"BLANDIN CASSANDRE, BRETAGNE CORENTIN",7,470,16,G,37,0,132,109,Semaine Olympique Francaise De Voile 2022,R3,0
"FLANDORFFER AMELIE, WILLIOT PIERRE",7,470,15,G,38,0,137,111,Semaine Olympique Francaise De Voile 2022,R3,0
"KIM JIHOON, LEE NAKYUNG",7,470,12,G,39,0,142,117,Semaine Olympique Francaise De Voile 2022,R3,0
"GAGO BEATRIZ, PIRES RODOLFO",7,470,27.0,G,40,UFD,148,121,Semaine Olympique Francaise De Voile 2022,R3,1
SHARMA RAVINDRA KUMAR CHOUHAN UMA,7,470,19,G,41,0,163,137,Semaine Olympique Francaise De Voile 2022,R3,0
"TULCAIL EFE, DANISMEND DEFNE",7,470,21,G,42,0,160,138,Semaine Olympique Francaise De Voile 2022,R3,0
"JACKSON SOPHIE, HIGGINS ANGUS",7,470,20,G,43,0,168,144,Semaine Olympique Francaise De Voile 2022,R3,0
"SARAVANAN RAMYA, REDDY CHS",7,470,23.0,G,44,0,168,145,Semaine Olympique Francaise De Voile 2022,R3,1
"PUKROPSKI LAURA, SCHLA 1/4TER THORBEN",7,470,19,G,45,0,180,153,Semaine Olympique Francaise De Voile 2022,R3,0
"CANDELA LAURIE, OSLIAK DENYS",7,470,22,G,46,0,189,162,Semaine Olympique Francaise De Voile 2022,R3,0
"RUIZ PONCE PABLO, PENARRUBIA RAMOS MARTA",7,470,21,G,47,0,197,170,Semaine Olympique Francaise De Voile 2022,R3,0
"CASERTANO AURORA, MATARAZZO LEONARDO",7,470,22,G,48,0,201,174,Semaine Olympique Francaise De Voile 2022,R3,0
"KHNG GRISELDA, CHEW JUSTIN",7,470,23,G,49,0,213,186,Semaine Olympique Francaise De Voile 2022,R3,0
"VERMA SHRADDHA, VERMA SHRADDHA",7,470,,G,50,DNF,240,213,Semaine Olympique Francaise De Voile 2022,R3,0
"PENNANEAC'H MANON, BARTHELEMY AURELIEN",7,470,,G,50/0,DNF,240,213,Semaine Olympique Francaise De Voile 2022,R3,0
"DAHLBERG ANTON, KARLSSON LOVISA",7,470,3,G,1,0,45,35,Semaine Olympique Francaise De Voile 2022,R4,0
"MACHETTI HIPPOLYTE, RETORNAZ ALOISE",7,470,2,G,2,0,54,42,Semaine Olympique Francaise De Voile 2022,R4,0
"WANSER LUISE, AUTENRIETH PHILIPP",7,470,1,G,3,0,66,51,Semaine Olympique Francaise De Voile 2022,R4,0
"FERRARI GIACOMO, CARUSO BIANCA",7,470,12,G,4,0,68,53,Semaine Olympique Francaise De Voile 2022,R4,0
"VADLAU LARA, MAHR LUKAS",7,470,4,G,5,0,68,54,Semaine Olympique Francaise De Voile 2022,R4,0
"MERMOD YVES, SIEGENTHALER MAJA",7,470,6,G,6,0,71,55,Semaine Olympique Francaise De Voile 2022,R4,0
"XAMMAR JORDI, BRUGMAN NORA",7,470,2,G,7,0,82,55,Semaine Olympique Francaise De Voile 2022,R4,0
"WRIGLEY MARTIN, MCINTYRE EILIDH",7,470,1,G,8,0,87,60,Semaine Olympique Francaise De Voile 2022,R4,0
"KEIJU OKADA, YOSHIOKA MIHO",7,470,4,G,9,0,81,64,Semaine Olympique Francaise De Voile 2022,R4,0
"HEATHCOTE VITA, ORR RYAN",7,470,12,G,10,0,94,79,Semaine Olympique Francaise De Voile 2022,R4,0
"GRADONI MARCO, DUBBINI ALESSANDRA",7,470,8,G,11,0,87,60,Semaine Olympique Francaise De Voile 2022,R4,0
"CHARLWOOD CHRIS, CATT AMELIA",7,470,5,G,12,0,78,60,Semaine Olympique Francaise De Voile 2022,R4,0
DAHNKE THERES CIPRA MATTI,7,470,5,G,13,0,80,60,Semaine Olympique Francaise De Voile 2022,R4,0
"PACAUD MATISSE, DE GENNES LUCIE",7,470,3,G,14,0,76,61,Semaine Olympique Francaise De Voile 2022,R4,0
"WINKEL MALTE, WINKEL ANASTASIYA",7,470,11,G,15,0,83,62,Semaine Olympique Francaise De Voile 2022,R4,0
BOVER MARIA GARCIA PABLO,7,470,6,G,16,0,95,72,Semaine Olympique Francaise De Voile 2022,R4,0
"PAPOUTSOGLOU VASILIS, KLONARIDOU RAFAILINA",7,470,15,G,17,0,97,74,Semaine Olympique Francaise De Voile 2022,R4,0
"JERWOOD NIA, NICHOLAS CONOR",7,470,9,G,18,0,109,84,Semaine Olympique Francaise De Voile 2022,R4,0
"TOTIS ANDREW, LINUSSI ALICE",7,470,7,G,19,0,118,94,Semaine Olympique Francaise De Voile 2022,R4,0
"BERGSTROM OLIVIA, CHRISTENSSON HUGO",7,470,10,G,20,0,123,99,Semaine Olympique Francaise De Voile 2022,R4,0
"BERTA ELENA, IZZO JACOPO",7,470,10,G,21,0,122,103,Semaine Olympique Francaise De Voile 2022,R4,0
"FAHRNI LINDA, SCHUPBACH CYRIL",7,470,13,G,22,0,132,107,Semaine Olympique Francaise De Voile 2022,R4,0
"COSTA DIOGO, JOAO CAROLINA",7,470,18,G,23,0,136,109,Semaine Olympique Francaise De Voile 2022,R4,0
"DUQUE JULIANA, MARTINS RAFAEL",7,470,8,G,24,0,133,110,Semaine Olympique Francaise De Voile 2022,R4,0
"LE CLECH HUGO, COLOMBE JULIA",7,470,7,G,25,0,134,112,Semaine Olympique Francaise De Voile 2022,R4,0
TAVELLA MARIA BELA(C)N RENNA FRANCISCO,7,470,19,G,26,0,148,123,Semaine Olympique Francaise De Voile 2022,R4,0
"TAKAYAMA DAICHI, MORITA FUYUKA",7,470,20,G,27,0,97,70,Semaine Olympique Francaise De Voile 2022,R4,0
"CHO SUNGMIN, KIM JIA",7,470,16,G,28,0,100,82,Semaine Olympique Francaise De Voile 2022,R4,0
"LOFFLER THERESA, HOERR CHRISTOPHER",7,470,13,G,29,0,116,94,Semaine Olympique Francaise De Voile 2022,R4,0
"NORDSTROM LOUISA, BORNARTH TREVOR",7,470,14,G,30,0,121,95,Semaine Olympique Francaise De Voile 2022,R4,0
"KIM CHANGJU, LEE JIHEE",7,470,11,G,31,0,117,96,Semaine Olympique Francaise De Voile 2022,R4,0
"BALLESTER BOVER NEUS, DAVILA MATEU",7,470,16,G,32,0,126,100,Semaine Olympique Francaise De Voile 2022,R4,0
"CINAR DENIZ, ASLAN SIMAY",7,470,20.0,G,33,0,120,100,Semaine Olympique Francaise De Voile 2022,R4,1
"REINO CACHO PATRICIA, GARCIA PORTELA PABLO",7,470,17,G,34,0,118,101,Semaine Olympique Francaise De Voile 2022,R4,0
"AMAR PAOLA, MICHAL ELIOTT",7,470,21,G,35,0,130,108,Semaine Olympique Francaise De Voile 2022,R4,0
"LEFORT MARINA, BUNEL JULIEN",7,470,,G,36,UFD,136,109,Semaine Olympique Francaise De Voile 2022,R4,0
"BLANDIN CASSANDRE, BRETAGNE CORENTIN",7,470,18,G,37,0,132,109,Semaine Olympique Francaise De Voile 2022,R4,0
"FLANDORFFER AMELIE, WILLIOT PIERRE",7,470,14,G,38,0,137,111,Semaine Olympique Francaise De Voile 2022,R4,0
"KIM JIHOON, LEE NAKYUNG",7,470,22,G,39,0,142,117,Semaine Olympique Francaise De Voile 2022,R4,0
"GAGO BEATRIZ, PIRES RODOLFO",7,470,9,G,40,0,148,121,Semaine Olympique Francaise De Voile 2022,R4,0
SHARMA RAVINDRA KUMAR CHOUHAN UMA,7,470,17,G,41,0,163,137,Semaine Olympique Francaise De Voile 2022,R4,0
"TULCAIL EFE, DANISMEND DEFNE",7,470,22.0,G,42,0,160,138,Semaine Olympique Francaise De Voile 2022,R4,1
"JACKSON SOPHIE, HIGGINS ANGUS",7,470,19,G,43,0,168,144,Semaine Olympique Francaise De Voile 2022,R4,0
"SARAVANAN RAMYA, REDDY CHS",7,470,21,G,44,0,168,145,Semaine Olympique Francaise De Voile 2022,R4,0
"PUKROPSKI LAURA, SCHLA 1/4TER THORBEN",7,470,15,G,45,0,180,153,Semaine Olympique Francaise De Voile 2022,R4,0
"CANDELA LAURIE, OSLIAK DENYS",7,470,24,G,46,0,189,162,Semaine Olympique Francaise De Voile 2022,R4,0
"RUIZ PONCE PABLO, PENARRUBIA RAMOS MARTA",7,470,23,G,47,0,197,170,Semaine Olympique Francaise De Voile 2022,R4,0
"CASERTANO AURORA, MATARAZZO LEONARDO",7,470,23,G,48,0,201,174,Semaine Olympique Francaise De Voile 2022,R4,0
"KHNG GRISELDA, CHEW JUSTIN",7,470,24,G,49,0,213,186,Semaine Olympique Francaise De Voile 2022,R4,0
"VERMA SHRADDHA, VERMA SHRADDHA",7,470,,G,50,DNF,240,213,Semaine Olympique Francaise De Voile 2022,R4,0
"PENNANEAC'H MANON, BARTHELEMY AURELIEN",7,470,,G,50/0,DNF,240,213,Semaine Olympique Francaise De Voile 2022,R4,0
"DAHLBERG ANTON, KARLSSON LOVISA",7,470,10.0,G,1,0,45,35,Semaine Olympique Francaise De Voile 2022,R5,1
"MACHETTI HIPPOLYTE, RETORNAZ ALOISE",7,470,4,G,2,0,54,42,Semaine Olympique Francaise De Voile 2022,R5,0
"WANSER LUISE, AUTENRIETH PHILIPP",7,470,4,G,3,0,66,51,Semaine Olympique Francaise De Voile 2022,R5,0
"FERRARI GIACOMO, CARUSO BIANCA",7,470,2,G,4,0,68,53,Semaine Olympique Francaise De Voile 2022,R5,0
"VADLAU LARA, MAHR LUKAS",7,470,2,G,5,0,68,54,Semaine Olympique Francaise De Voile 2022,R5,0
"MERMOD YVES, SIEGENTHALER MAJA",7,470,1,G,6,0,71,55,Semaine Olympique Francaise De Voile 2022,R5,0
